author
"tso, chih-ping"
"winograd, terry"
"suchon, walter"
"chryssostomidis, chryssostomos"
"kelly, edmund francis aloysius"
"palmer, peter joseph"
"basu, satyaki"
"kilayko, enrique"
"raff, alfred israel"
"simson, anton keats"
"holschneider, johannes philipp"
"sweedler, moss eisenberg"
"el-shiekh, aly hassan mahmoud"
"opitz, calvin fred"
"pedju, ary mochtar"
"bonar, james robert"
"gruber, gerald"
"cannon, robert hamilton"
"clementson, gerhardt christopher"
"nez, george"
"washburn, charles winfred"
"powell, douglas s"
"reuter, frederick h"
"stenning, alan h. (alan hugh)"
"paslay, paul r"
"webb, watt wetmore, 1927-"
"reiner, thomas a. (thomas andrew), 1931-"
"paukulis, vivaldis"
"horowitz, richard m"
"wyckoff, harold w"
"scott, norman keith"
"wilmot, george barwick"
"lyon, richard h"
"coughlin, robert edward"
"jeffcoat, robert lee"
"bott, eric herschler"
"azuma, alberto"
"maizza neto, octavio"
"shiman, leon gardner"
"hayes, steven coburn"
"soupcoff, william harold"
"cylkowski, david"
"loftness, vivian ellen"
"neuhaus, sanford j"
"chen, xinmin"
"gangnes, arnold g. (arnold gordon), 1918-"
"stone, archie allan"
"newton, richard y"
"crandall, stephen h"
"maack, viggo e"
"holmes , james a ."
"cotter , henry van tuyl"
"connaway , melissa clare"
"crutchley , claire elaine"
"marshall , sterling i ."
"saed , mohammad ali"
"tang , bruce shiu-leung"
"mckenna , james richard"
"grymes , joanna m ."
"randall , john lewis , jr ."
"shalev , doron"
"kienas , kenneth lee"
"antenucci , robert nicholas"
"hall , lena"
"bredenkamp , brian victor"
"hawkins , ronald eugene"
"lai , lin-ying"
"yurochko , william p ."
"aiello , helene sarah"
"santon , beryle crockett"
"clemons , clell richardson , jr ."
"hellstern , ann marie"
"sheridan , margaret mary"
"arnold , cynthia ann"
"gysel , libra jan cleveland"
"arhancet , juan pedro"
"kim , ha chul"
"yordan hernandez , jorge luis"
"chermak , john alan"
"arenburg , robert thomas"
"gruhn , christine mae"
"ayangbile , gbemiga adekunmi"
"cohen , david henry"
"fenchak , richard john"
"morris , linda ellen"
"oliveira , anthony joseph"
"anderton , lillie mae"
"bennett , kimberly dean"
"semanic-lauth , susan ann"
"chang , chian-yeun"
"sehn , allen lee"
"wang , zhiqiang"
"chism , william john"
"barton , thomas f ."
"hellgeth , john william"
"desimone , joseph mark"
"eid , walid khaled"
"baba , mutasim fuad"
"dingus , thomas a ."
"gunter , mickey e ."
"miner, priscilla ann"
"king, james cornelius"
"krause, corinne azen"
"brown, ian douglas"
"koetzle, thomas frederick"
"powell, eugene alexander"
"white, charles wayne"
"garfinkel, irwin"
"lessing, ronald"
"kuo, albert yi-shuong"
"cockran, david hudson, iii"
"franklin, herbert alexander"
"krimsley, victor seth"
"hasselman, margaret paine"
"levine, ronald dorian"
"kellman, sanford alan"
"cohen, arthur ira"
"fisher, david allen"
"erel, bilgin"
"pearce, george franklin"
"strecker, william daniel"
"ortiz-garcia, angel luis"
"grason, john"
"decoufle, pierre"
"wilson, marian monyok"
"bicanich, thomas paul"
"allen, charles"
"moore, mary eva welfer"
"cairns, john joseph"
"hollander, earl donald"
"ponomarev, paul"
"allison, bruce normansell"
"payne, richard steven"
"shuraydi, hasan a."
"johnson, kurt edward"
"chou, ting-chao"
"caputo, david armand"
"drake, charles henry"
"bates, alan hunt"
"koetzle, thomas frederick"
"fossel, eric thor"
"siska, peter emil"
"mussalli, yusuf g."
"mosher, arthur joseph"
"powell, eugene alexander"
"morris, charles franklin, jr."
"ghosh, sambhunath"
"sanders, james robinson, jr."
"landel, robert davis"
"joy, edward bennett"
"burroughs, john robert crull"
"shepard, kenneth wayne"
"frost, otis lamont, iii"
"hanzlik, robert paul"
"olson, gary monroe"
"white, charles wayne"
"correa-zoli, yole"
"mercado, carmen maria"
"sundaresan, krishnan"
"babich, george, sr."
"niemi, gunnar wayne"
"laux, louis joseph, jr."
"mattson, james stewart"
"morton, john elliott"
"hoge, albert russell"
"huang, frank tsung-chien"
"cunitz, robert jesse"
"sebastian, richard lee"
"reichard, douglas warren"
"han, chang sun"
"lessing, ronald"
"trifunac, natalia pisker"
"luecke, glenn richard"
"parker, gerhard h."
"rastogi, prabhat kumar"
"jassby, kenneth mark"
"petersson, george arthur"
"blumenthal, donald lawrence"
"kuhar, michael joseph"
"phillips, juliet rapaport"
"kuo, albert yi-shuong"
"chen, hsin-hsiung"
"mcfarlane, paul thomas"
"anhalt, john paul"
"brustkern, richard lee"
"verzino, william john, jr."
"hansen, wayne richard"
"taylor, robert leighton"
"johnson, dallas eugene"
"petrela, dashamir maliq"
"young, james forrest"
"frost, otis lamont, iii"
"chuong, tran nhu"
"clough, fred wayne"
"seligsohn, harriet cohen"
"rose, david alon"
"santa cruz, thomas david"
"babb, james herman"
"ward, james robert, jr."
"lukaszek, wieslaw a."
"richardson, graham"
"perrott, frances alayne"
"maceoin, denis martin"
"corbeil, robert roland"
"gordon, stuart albert"
"singh, jarnail"
"hassan, mostafa ahmed"
"rose, edward joseph"
"dassa, clement"
"caudarella, mauro"
"foster, francis stuart"
"siddique, c. muhammad"
"koniuk, roman george"
"yalpani, mansur"
"humphrey, gary keith"
"de glas, michel"
"ryan, joan"
"huckin, stuart nicholas"
"chaudhari, ram das"
"newnham, robert montague"
"chew, kim lin"
"lee, william leung him"
"gletsos, constantine"
"dix, trevor ian"
"ito, yushi"
"flintoft, mary luserna"
"murphy, kerry rosaleen"
"gear, john anthony"
"chalmers, peter james"
"dedman, roger"
"milne, rosemary anne"
"clark, vincent anthony"
"ainley, mary d."
"smith, murdo alasdair macdonald"
"bridges, douglas sutherland"
"giaretta, david leslie"
"thompson, michael"
"hadjipavlou, savas"
"kendall, wilfrid s."
"stove, andrew"
"cheel, vanessa"
"walker, alison bridget"
"pitcher, neil"
"douglas, bronwen"
"raine, j. i."
"white, john peter"
"radtke, kurt werner"
"thayer, carlyle alan"
"lauro, donald joseph"
"johnson, ian"
"hoover, robert linville"
"code, william robert"
"borgir, tharald"
"key, bernard merril"
"johnson, ronald william"
"brauner, kalman george, jr."
"al-haik, antoine rashid"
"borromeo, soledad masangkay"
"hunt, james howell"
"vinson, john wilmot"
"tuttle, mary caroline"
"jennings, kay donahue"
"wickham, robert saunderson"
"fisher, robert lawrence"
"sarkisian, ricky alan"
"chinn, dennis leslie"
"mather, john cromwell"
"russell, james william"
"carter, clifford"
"cohen, bruce ira"
"bartel, eugene william"
"pareja, guillermo enrique"
"wang, paul por-yuan"
"sauer, wolfgang joachim"
"garg, vijay kumar"
"davis, thomas haydn, iii"
"corn, jacqueline karnell"
"hill, dorothy m."
"marcus, lawrence harvey"
"mcmanus, paul francis"
"reusch, charles frederick"
"shaftel, timothy lee"
"obenauf, ralph harry, jr."
"barbacci, mario roberto"
"kaye, stephen edward"
"jones, anita katherine"
"hariharan, puthugramam chidambaram"
"lipton, richard j."
"riccardella, peter charles"
"geschke, charles matthew"
"pollak, henry lewis"
"martin, robert arnold, jr."
"mazzola, eugene passudette"
"van wyk, robert nicholas"
"spillane, william henry"
"shaeffer, d. lynn"
"tepper, leonard p."
"amick, daniel james"
"sesnowitz, michael louis"
"patamapongse, patamaka"
"kaliden, william g., jr."
"choe, byung sook"
"weaver, janet elizabeth"
"gottardi, leslie paul"
"domber, edward a., jr."
"mellott, richard russell"
"fielding, thomas edgar"
"kelly, william allen"
"pavlot, joseph"
"crawley, lantz stephen"
"jackson, jeremy bradford cook"
"swann, william kirk, iii."
"tattersall, ian"
"zannis, paulos e."
"pilbeam, carol coke"
"robertson, raleigh john"
"meid, elizabeth s."
"yang, ralph tzu-bow"
"parsons, frederick george"
"wartell, michael alan"
"pappas, anthony"
"yau, joseph woong-sang"
"warshaw, stephen jay"
"storms, michael david"
"howland, gary paul"
"schneider, bruce stanley"
"smith, gary nance"
"scott, paul vanvelzor"
"sears, alan roy"
"sundell, robert elmer"
"shaw, david george"
"wheland, robert clayton"
"kim, chang hwan"
"cohen, jonathan brewer"
"lewis, ralph g."
"williams, lewis david"
"faber, sandra moore"
"hoffman, jeffrey alan"
"kirst, herbert andrew"
"mallet, jacques jean-benoit"
"saunders, barbara breidenbach"
"cesarsky, catherine jeanne"
"kurshan, neil"
"fischer, richard gatts"
"bunting, charles i."
"williamson, lorna joan"
"schneider, steven alan"
"dolan, william patrick, jr."
"lafayette, bernard, jr."
"mastrocola, antonietta rose"
"boone, james ronald"
"ishii, mamoru"
"weser, don benton"
"mckelvey, john murray, jr."
"yoon, yo kil"
"kocamustafaogullari, gunol"
"alkidas, alexandros costas"
"abidaud, alvaro"
"hill, robert howard, jr."
"lores, manuel edward"
"sanchez, joseph peter"
"ko, ming"
"little, william campbell"
"lake, james alan"
"bell, william alvin"
"leach, william marshall, jr."
"chakravarti, bhaven"
"jakobsen, joergen"
"reich, ricardo"
"saha, pradip"
"tenenbaum, jay martin"
"oyelaran, olasope oyediji"
"konno, hiroshi"
"machline, claude"
"tanner, robert michael"
"stuckless, john shearing"
"chen, louis hsiao-yun"
"ray, edward john"
"cox, james leslie"
"vencill, corwin daniel"
"singer, michael christopher"
"wirt, john gary"
"elliott, james edward"
"hall, wilton earl, jr."
"gilbert, lawrence edmund, jr."
"armand, jean-louis pierre"
"sumner, john randolph"
"sukale, michael hermann"
"schmidt, rodney albert, jr."
"morris, peter alan"
"decoster, lee frederick"
"thomas, john archie"
"shoecraft, paul joseph"
"cavanagh, george alfred"
"ihas, gary gene"
"muscara, joseph"
"stewart, michael f."
"kamler, howard frederick"
"turner, thomas rolf"
"whiteside, david edward"
"marvich, robert hyman"
"dean, jerry mac"
"ballou, david penfield"
"boardman, shelby jett"
"sharifi, hassan"
"ross, seymour l."
"ito, eiko tamano"
"akin, john stephen"
"landesman, bruce michael"
"canfield, james lewis"
"steinberg, arne jo"
"shuster, malcolm david"
"fearnsides, john joseph"
"keith, theo gordon, jr."
"carder, mazie pauline hinson"
"falkler, william alexander, jr."
"abeles, harold fred"
"emara, mostafa mahmoud"
"gold, oliver david"
"kadarsan, sampurno"
"king, wilbert allen"
"delbeato, donald joseph"
"beaman, bobby glenn"
"lee, changsoo"
"ralph, ruth s."
"kamel, ihab labib"
"block, ira"
"van houte, samuel"
"barde, robert elmer"
"bell, a. robert"
"ross, stephen mark"
"fu, james chuan"
"jaeger, rudolph john"
"smith, terence robert"
"riley, james joseph, jr."
"haynes, kingsley edwin"
"shammas, carole"
"carman, charles henry"
"tjaden, garold stephen"
"banner, michael leslie"
"wagman, stephen robert"
"apitz, elly marie friese"
"rimbach, james allen"
"borukhov, eliyahu"
"gustafson, jerry w."
"boettinger, william james"
"batto, bernard frank"
"plotkin, howard neil"
"capozza, dennis robert"
"dussan v., elizabeth b."
"laguna, glenn alan"
"barbee, james henry"
"hwang, myung kyu"
"okoye, josephat kanayo"
"silver, richard neil"
"will, clifford martin"
"casperson, lee wendel"
"puckett, jason niles, jr."
"stroyan, keith duncan"
"thatcher, wayne raymond"
"owyoung, adelbert"
"wester, gene ward"
"caloyannides, michael akylas"
"shostak, gerson seth"
"chang, daniel pan yih"
"harris, daniel charles"
"blevins, robert dilworth"
"morris, howard cary"
"shaffer, david bruce"
"prosperetti, andrea"
"johnson, william lewis"
"kosecoff, michael alan"
