"boone, james ronald"
"ishii, mamoru"
"weser, don benton"
"mckelvey, john murray, jr."
"yoon, yo kil"
"kocamustafaogullari, gunol"
"alkidas, alexandros costas"
"abidaud, alvaro"
"hill, robert howard, jr."
"lores, manuel edward"
"sanchez, joseph peter"
"ko, ming"
"little, william campbell"
"lake, james alan"
"bell, william alvin"
"leach, william marshall, jr."
"chakravarti, bhaven"
"jakobsen, joergen"
"reich, ricardo"
"saha, pradip"
"tenenbaum, jay martin"
"oyelaran, olasope oyediji"
"konno, hiroshi"
"machline, claude"
"tanner, robert michael"
"stuckless, john shearing"
"chen, louis hsiao-yun"
"ray, edward john"
"cox, james leslie"
"vencill, corwin daniel"
"singer, michael christopher"
"wirt, john gary"
"elliott, james edward"
"hall, wilton earl, jr."
"gilbert, lawrence edmund, jr."
"armand, jean-louis pierre"
"sumner, john randolph"
"sukale, michael hermann"
"schmidt, rodney albert, jr."
"morris, peter alan"
"decoster, lee frederick"
"thomas, john archie"
"shoecraft, paul joseph"
"cavanagh, george alfred"
"ihas, gary gene"
"muscara, joseph"
"stewart, michael f."
"kamler, howard frederick"
"turner, thomas rolf"
"whiteside, david edward"
"marvich, robert hyman"
"dean, jerry mac"
"ballou, david penfield"
"boardman, shelby jett"
"sharifi, hassan"
"ross, seymour l."
"ito, eiko tamano"
"akin, john stephen"
"landesman, bruce michael"
"canfield, james lewis"
"steinberg, arne jo"
"shuster, malcolm david"
"fearnsides, john joseph"
"keith, theo gordon, jr."
"carder, mazie pauline hinson"
"falkler, william alexander, jr."
"abeles, harold fred"
"emara, mostafa mahmoud"
"gold, oliver david"
"kadarsan, sampurno"
"king, wilbert allen"
"delbeato, donald joseph"
"beaman, bobby glenn"
"lee, changsoo"
"ralph, ruth s."
"kamel, ihab labib"
"block, ira"
"van houte, samuel"
"barde, robert elmer"
"bell, a. robert"
"ross, stephen mark"
"fu, james chuan"
"jaeger, rudolph john"
"smith, terence robert"
"riley, james joseph, jr."
"haynes, kingsley edwin"
"shammas, carole"
"carman, charles henry"
"tjaden, garold stephen"
"banner, michael leslie"
"wagman, stephen robert"
"apitz, elly marie friese"
"rimbach, james allen"
"borukhov, eliyahu"
"gustafson, jerry w."
"boettinger, william james"
"batto, bernard frank"
"plotkin, howard neil"
"capozza, dennis robert"
"dussan v., elizabeth b."
"laguna, glenn alan"
"barbee, james henry"
"hwang, myung kyu"
"okoye, josephat kanayo"
"silver, richard neil"
"will, clifford martin"
"casperson, lee wendel"
"puckett, jason niles, jr."
"stroyan, keith duncan"
"thatcher, wayne raymond"
"owyoung, adelbert"
"wester, gene ward"
"caloyannides, michael akylas"
"shostak, gerson seth"
"chang, daniel pan yih"
"harris, daniel charles"
"blevins, robert dilworth"
"morris, howard cary"
"shaffer, david bruce"
"prosperetti, andrea"
"johnson, william lewis"
"kosecoff, michael alan"
"shiu, elias sai wan"
"brown, thomas carl, jr."
"kotsovinos, nikolas evangelos"
"russell, robert l."
"olsen, john leslie"
"reed, david ellsworth"
"westcott, paul arthur"
"al turki, mansoor i."
"mcwhorter, david bruce"
"hunt, john denure"
"woodmansee, robert george"
"addink, john william"
"kilinc, mustafa yilmaz"
"nicoletti, john albert, jr."
"stockhouse, robert erland, ii"
"de long, richard allan"
"nordblom, gerald david"
"niimura, masanobu"
"teotia, jagdish singh"
"chappell, alonzo"
"acott, howard neil"
"creighton, phillip david"
"mendelson, sheldon ray"
"allardice, david ross"
"liu, jeong-shwu"
"narang, rajinder singh"
"henghold, william murray"
"crain, william james"
