predicted-degree,gt-degree,crf_match
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
,ph.d.,0
ed.d.,educat.d.,0
,ph.d.,0
,ph.d.,0
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ed.d.,educat.d.,0
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
,d.m.a.,0
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
,educat.d.,0
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
,educat.d.,0
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
ph.d.,ph.d.,1
,ph.d.,0
