predicted-title,gt-title,crf_match,loose_match
metal hydride reduction of ketones: stereochemistry and kinetics,metal-hydride reduction of ketones: stereochemistry and kinetics.,0,1
thermally induced flow instabilities in two-phase mixtures in thermal equilibrium,thermally induced flow instabilities in two-phase mixtures in thermal equilibrium,1,1
the kinetics and mechanism of nucleophilic substitution on 9-substituted-6-chloropurines,the kinetics and mechanism of nucleophilic substitution on 9-substituted-6-chloropurines,1,1
kinetics of iodination of methyl substituted benzenes,kinetics of iodination of methyl substituted benzenes,1,1
gas-liquid phase equilibria in the helium-carbon tetrafluoride and helium-chlorotrifluoromethane systems at low temperatures and 20-120 atmospheres,gas-liquid phase equilibria in the helium - carbon-tetrafluoride and helium - chlorotrifluoromethane systems at low temperatures and 20-120 atmospheres,0,1
thermo-fluid dynamics of separated two-phase flow,thermo-fluid dynamics of separated two-phase flow,1,1
the steady-state theory of ignition of flowing gaseous mixtures by hot surfaces,the steady-state theory of ignition of flowing gaseous mixtures by hot surfaces,1,1
kinetic study on the nucleophilic substitution of purines,kinetic study on the nucleophilic substitution of purines,1,1
the chemistry of endo triazolines,the chemistry of endo-triazolines,0,1
a theoretical study of nonlinear longitudinal combustion instability in liquid propellant rocket engines,a theoretical study of nonlinear longitudinal combustion instability in liquid propellant rocket engines,1,1
the photochemistry of azafulvenes,the photochemistry of azafulvenes,1,1
substituent effect on photochemical rearrangements of cross-conjugated cyclohexadienones related to indanone,substituent effect of photochemical rearrangements of cross-conjugated cyclohexadienones related to indanone,0,1
the role of sediment gradation on channel armoring,the role of sediment gradation on channel armoring,1,1
1972 measurement of steady-state space dependent thermal neutron spectra in beryllium,"measurement of steady-state, space dependent thermal-neutron-spectra in beryllium",0,1
experimental determination of three-dimensional liquid rocket nozzle admittances,experimental determination of three-dimensional liquid rocket nozzle admittances,1,1
probe compensated near-field measurements on a cylinder,probe compensated near-field measurements on a cylinder,1,1
short range order and development of long range order in nickel atomic percent molybdenum alloy,short-range order and development of long-range order in nickel - 20 atomic percent molybdenum alloy,0,1
lubricant rheology at high shear stress,lubricant rheology at high shear stress.,0,1
adsorption on activated carbon of methane ethane and ethylene gases and their mixtures and carbon dioxide k and up to thirty-five atmospheres,"adsorption on activated carbon of methane, ethane, and ethylene gases and their mixtures and carbon-dioxide at 212 k, 260 k, and 301 k and up to thirty-five atmospheres.",0,1
thermally induced two-~phase flow instabilities including the effect of thermal non-equilibrium between the phases,"thermally induced two-phase flow instabilities, including the effect of thermal non-equilibrium between the phases.",0,1
accommodation in computer vision,accommodation in computer vision,1,1
"""""",yoruba phonology,0,0
bilinear programming,bilinear programming,1,1
price-level changes and the inventory policy of the firm,price-level changes and the inventory policy of the firm,1,1
contributions to the simplex code conjecture,contributions to the simplex code conjecture,1,1
the petrology and petrography of the volcanic sequence associated with the superstition caldera superstition mountains arizona,"the petrology and petrography of the volcanic sequence associated with the superstition caldera, superstition mountains, arizona",0,1
poisson approximation for sums of dependent bernoulli random variables,poisson approximation for sums of dependent bernoulli random variables,1,1
finance in a development context: lessons from west germany,finance in a development context: lessons from west germany,1,1
1972 ddt residues in coastal marine phytoplankton and their transfer in pelagic food chains,ddt residues in coastal marine phytoplankton and their transfer in pelagic food chains,0,1
economies of scale in financial intermediation: a statistical investigation of california savings and loan associations,economies of scale in financial intermediation: a statistical investigation of california savings and loan associations,1,1
ecological studies on the butterfly euphydryas editha,ecological studies on the butterfly euphydryas editha,1,1
optimization of price and quality in service systems,optimization of price and quality in service systems,1,1
the mineralogy and geochemistry of the tungsten deposits of the black rock,"the mineralogy and geochemistry of the tungsten deposits of the black rock mine area, mono county, california",0,1
computational methods for the synthesis of rotary-wing vtol aircraft control systems,computational methods for the synthesis of rotary-wing vtol aircraft control systems,1,1
influence of resource distribution and abundance on butterfly population structure,influence of resource distribution and abundance on butterfly population structure,1,1
applications of the theory of optimal control of distributed-parameter systems to structural optimization,applications of the theory of optimal control of distributed-parameter systems to structural optimization,1,1
tectonic significance of geophysical investigations in southwestern arizona and northwestern sonora mexico at the head of the gulf of california,"tectonic significance of geophysical investigations in southwestern arizona and northwestern sonora, mexico, at the head of the gulf of california",0,1
four studies in phenomenology and pragmatism,four studies in phenomenology and pragmatism,1,1
a study of the real-time control of a computer-driven vehicle,a study of the real-time control of a computer-driven vehicle,1,1
bayesian expert resolution,bayesian expert resolution,1,1
memory codes revealed by response latencies,memory codes revealed by response latencies,1,1
a marketing analysis model applied to roman catholic,"a marketing analysis model applied to roman catholic elementary and secondary education in toledo, ohio",0,0
the effects of provisions for imagery through materials and drawings on translating algebra word problems grades seven ano nine,"the effects of provisions for imagery through materials and drawings on translating algebra word problems, grades seven and nine",0,1
william d. revelli: the hobart years,william d. revelli: the hobart years,1,1
exotic ions in liquid helium,exotic ions in liquid helium,1,1
a metallurgical study of high stress abrasion,a metallurgical study of high stress abrasion,1,1
"""""","a logical basis for nouns, adjectives, and verbs",0,0
"""""",the concept of empathic understanding,0,0
"""""",double commutants of singly generated operator algebras,0,0
an analysis of the concept of alienation in karl marx's early writings,an analysis of the concept of alienation in karl marx's early writings,1,1
reactions of molecular nitrogen with titanocene and its derivatives,reactions of molecular nitrogen with titanocene and its derivatives,1,1
solution and unity in schoenberg's george songs op. 15,"evolution and unity in schoenberg's 'george songs,' op. 15",0,1
instrumentation for the study of rapid biological oxidation-reduction reactions by epr and optical spectroscopy,instrumentation for the study of rapid biological oxidation-reduction reactions by epr and optical spectroscopy,1,1
precambrian geology and mineral deposits of the salida area chaffee county colorado,"precambrian geology and mineral deposits of the salida area, chaffee county, colorado",0,1
a generative approach to the development of avestan and old persian consonants,a generative approach to the development of avestan and old persian consonants,1,1
wardhaugh measurements and models of the dispersed phase mixing process,measurements and models of the dispersed phase mixing process,0,1
sentential complementation in middle english and early modern english: a study of linguistic change,sentential complementation in middle english and early modern english: a study of linguistic change,1,1
estimation of local fiscal capacity,estimation of local fiscal capacity,1,1
the obligation t0 obey the law: an essay on law social institutions and morality,"the obligation to obey the law: an essay on law, social institutions, andmorality",0,1
the wallace campaign worker in wayne county michigan,"the wallace campaign worker in wayne county, michigan",0,1
franz liszt's approach to piano playing,franz liszt's approach to piano playing,1,1
pion production in nuclear collisions,pion production in nuclear collisions,1,1
minimum-fuel attitude control and stabilization of an inertially-oriented space station,minimum-fuel attitude control and stabilization of an inertially-orientedspace station.,0,1
finite difference solutions of steady laminar flow through a pipe orifice,finite difference solutions of steady laminar flow through a pipe orifice,1,1
george frederick root pioneer music educator his contributions to mass instruction in music,"george frederick root, pioneer music educator: his contributions to mass instruction in music",0,1
radiolodine labeled human igg and igg fraction of rabbit anti-human igg serum: the use of labeled antibody as antibody in precipitation and double antibody reactions and as antigen in precipitation and double antibody radioimmunoassays,radioiodine labeled human immunoglobulin-g and immunoglobulin-g fraction of rabbit anti-human immunoglobulin-g serum: the use of labeled antibodyas antibody in percipitation and double antibody reactions and as antigen in precipitation and double antibody radioimmunoassays,0,0
an application of the facet-factorial approach to scale construction in the development of a rating scale for clarinet music performance,an application of the facet-factorial approach to scale construction in the development of a rating scale for clarinet music performance,1,1
