tokens,left_margin,bottom_right,upper_left
SOME,0.2343387470997679,0.1160493827160493,0.1160493827160493
ASPECTS,0.2737819025522042,0.1160493827160493,0.1160493827160493
OF,0.3380841895923102,0.1160493827160493,0.1160493827160493
RADIATION,0.3619489559164733,0.1154320987654321,0.1154320987654321
INDUCED,0.4428239973483593,0.1151234567901234,0.1151234567901234
NUCLEATION,0.5054690089492874,0.1151234567901234,0.1151234567901234
IN,0.5939675174013921,0.1151234567901234,0.1151234567901234
WATER,0.6168379184620484,0.1148148148148148,0.1148148148148148
by,0.4328803447132913,0.1629629629629629,0.1629629629629629
Chih-Ping,0.3947630096121975,0.2083333333333333,0.2083333333333333
Tso,0.4746436857805767,0.2083333333333333,0.2083333333333333
B.Tech.,0.1942326814716606,0.2549382716049382,0.2549382716049382
",",0.2668213457076566,0.2549382716049382,0.2549382716049382
Loughborough,0.3702353331123633,0.2546296296296296,0.2546296296296296
University,0.4580709313887968,0.2549382716049382,0.2549382716049382
of,0.4822671528007955,0.254320987654321,0.254320987654321
Technology,0.5777262180974478,0.2540123456790123,0.2540123456790123
",",0.6344050381173351,0.2540123456790123,0.2540123456790123
United,0.419953596287703,0.2984567901234567,0.2984567901234567
Kingdom,0.3056015909844216,0.3932098765432099,0.3932098765432099
(,0.3858137222406363,0.3938271604938271,0.3938271604938271
1968,0.4096784885647995,0.3932098765432099,0.3932098765432099
),0.4733178654292343,0.3929012345679012,0.3929012345679012
Submitted,0.5691083858137223,0.3932098765432099,0.3932098765432099
in,0.3056015909844216,0.4401234567901234,0.4401234567901234
Partial,0.337421279416639,0.4395061728395061,0.4395061728395061
Fulfillment,0.4418296320848525,0.4401234567901234,0.4401234567901234
of,0.4736493205170699,0.4398148148148148,0.4398148148148148
the,0.5054690089492874,0.4391975308641975,0.4391975308641975
Requirements,0.5614849187935035,0.4401234567901234,0.4401234567901234
for,0.3771958899569108,0.4864197530864197,0.4864197530864197
the,0.4338747099767981,0.4864197530864197,0.4864197530864197
Degree,0.4577394763009612,0.4858024691358025,0.4858024691358025
of,0.4179648657606894,0.5330246913580247,0.5330246913580247
Master,0.4418296320848525,0.532716049382716,0.532716049382716
of,0.2976466688763672,0.5793209876543209,0.5793209876543209
Science,0.410009943652635,0.5790123456790124,0.5790123456790124
at,0.489227709645343,0.5796296296296296,0.5796296296296296
the,0.5134239310573417,0.5790123456790124,0.5790123456790124
Massachusetts,0.4090155783891283,0.625,0.625
Institute,0.4656943984090155,0.6256172839506173,0.6256172839506173
of,0.1693735498839907,0.717283950617284,0.717283950617284
Technology,0.2492542260523699,0.7179012345679012,0.7179012345679012
August,0.2727875372886973,0.717283950617284,0.717283950617284
1970,0.5459065296652303,0.7231481481481481,0.7231481481481481
Signature,0.3937686443486907,0.7283950617283951,0.7283950617283951
of,0.4567451110374544,0.7225308641975309,0.7225308641975309
Author,0.5528670865097779,0.7333333333333333,0.7333333333333333
----Department,0.576731852833941,0.7327160493827161,0.7327160493827161
of,0.6413655949618826,0.7324074074074074,0.7324074074074074
Nuclear,0.1700364600596619,0.7787037037037037,0.7787037037037037
Engineering,0.2479284057010275,0.779320987654321,0.779320987654321
Certified,0.5223732184289028,0.7916666666666666,0.7916666666666666
by-,0.5452436194895591,0.7944444444444444,0.7944444444444444
------Thesis,0.600596619158104,0.7941358024691358,0.7941358024691358
Supervisor-,0.696387139542592,0.7944444444444444,0.7944444444444444
-----Accepted,0.1683791846204839,0.8404320987654321,0.8404320987654321
by-,0.2396420285051375,0.8410493827160493,0.8410493827160493
Chairman,0.4733178654292343,0.8561728395061728,0.8561728395061728
",",0.5525356314219423,0.8558641975308642,0.8558641975308642
Departmental,0.657606894265827,0.8558641975308642,0.8558641975308642
Committee,0.4010606562810739,0.8762345679012346,0.8762345679012346
Arc-hives,0.4292343387470997,0.870679012345679,0.870679012345679
on,0.568445475638051,0.875,0.875
Graduate,0.5926416970500498,0.8719135802469136,0.8719135802469136
Students,0.6648989061982101,0.8716049382716049,0.8716049382716049
MASS,0.3851508120649652,0.8987654320987655,0.8987654320987655
.,0.4169705004971826,0.8975308641975308,0.8975308641975308
INST,0.445475638051044,0.9012345679012346,0.9012345679012346
.,0.384487901889294,0.9197530864197532,0.9197530864197532
T-ECH,0.4239310573417302,0.9225308641975308,0.9225308641975308
.,0.4527676499834272,0.924074074074074,0.924074074074074
SEP,0.37951607557176,0.9395061728395062,0.9395061728395062
21,0.4060324825986079,0.9475308641975309,0.9475308641975309
1970,0.4272456082200861,0.9450617283950618,0.9450617283950618
LIB-RA-RIES,0.3579714948624461,0.8929012345679013,0.8929012345679013
------PROCEDURES,0.4680145840238647,0.8929012345679013,0.8929012345679013
AS,0.3576400397746105,0.9108024691358024,0.9108024691358024
A,0.4809413324494531,0.9108024691358024,0.9108024691358024
REPRESENTATION,0.3576400397746105,0.9225308641975308,0.9225308641975308
FOR,0.4607225720914816,0.9225308641975308,0.9225308641975308
DATA,0.2529002320185615,0.2317901234567901,0.2317901234567901
IN,0.3583029499502817,0.2320987654320987,0.2320987654320987
A,0.3881339078554855,0.2320987654320987,0.2320987654320987
COMPUTER,0.4086841233012926,0.2320987654320987,0.2320987654320987
PROGRA-M,0.5551872721246272,0.2333333333333333,0.2333333333333333
FOR,0.5933046072257209,0.2336419753086419,0.2336419753086419
UNDERSTANDING,0.2548889625455751,0.2469135802469135,0.2469135802469135
N---ATURAL,0.2807424593967517,0.2469135802469135,0.2469135802469135
LANGUAGE,0.300298309579052,0.2469135802469135,0.2469135802469135
by,0.3891282731189924,0.2472222222222222,0.2472222222222222
Terry,0.467020218760358,0.2475308641975308,0.2475308641975308
Wi-nograd,0.5051375538614518,0.2478395061728395,0.2478395061728395
P.A.,0.6085515412661584,0.245679012345679,0.245679012345679
",",0.3692409678488564,0.262037037037037,0.262037037037037
The,0.4464700033145509,0.2626543209876543,0.2626543209876543
Colorado,0.4371892608551541,0.3070987654320987,0.3070987654320987
College,0.3781902552204176,0.3512345679012346,0.3512345679012346
(,0.4358634405038117,0.3515432098765432,0.3515432098765432
1966,0.3198541597613523,0.4111111111111111,0.4111111111111111
),0.3765329797812396,0.4111111111111111,0.4111111111111111
SUBMITT-ED,0.416639045409347,0.4114197530864197,0.4114197530864197
I-N,0.5038117335101093,0.412037037037037,0.412037037037037
PARTIAL,0.4179648657606894,0.4256172839506172,0.4256172839506172
FULFILLMENT,0.2896917467683129,0.4858024691358025,0.4858024691358025
OF,0.3891282731189924,0.4861111111111111,0.4861111111111111
THE,0.416639045409347,0.4861111111111111,0.4861111111111111
REQUIREMENTS,0.4938680808750414,0.4867283950617284,0.4867283950617284
FOR,0.308584686774942,0.5006172839506173,0.5006172839506173
THE,0.3367583692409678,0.5006172839506173,0.5006172839506173
DEGREE,0.3775273450447464,0.5009259259259259,0.5009259259259259
OF,0.5041431885979449,0.5018518518518519,0.5018518518518519
DOCTO-R,0.5415976135233675,0.5021604938271605,0.5021604938271605
OF,0.3480278422273782,0.5160493827160494,0.5160493827160494
PHILOSOPHY,0.4153132250580046,0.5160493827160494,0.5160493827160494
at,0.4451441829632085,0.516358024691358,0.516358024691358
the,0.5124295657938349,0.5169753086419753,0.5169753086419753
MASSACHUSETTS,0.3967517401392111,0.5308641975308642,0.5308641975308642
I-NSTITUTE,0.414981769970169,0.5771604938271605,0.5771604938271605
OF,0.445475638051044,0.5762345679012346,0.5762345679012346
TECHNOLOGY,0.3175339741465031,0.6055555555555555,0.6055555555555555
August,0.4564136559496188,0.6061728395061728,0.6061728395061728
",",0.5515412661584356,0.6070987654320987,0.6070987654320987
197-0,0.3944315545243619,0.6200617283950617,0.6200617283950617
Signature,0.3851508120649652,0.6657407407407407,0.6657407407407407
of,0.4640371229698375,0.6657407407407407,0.6657407407407407
Author-,0.1620815379516075,0.7092592592592593,0.7092592592592593
---------------Department,0.2578720583360954,0.7092592592592593,0.7092592592592593
of,0.2857142857142857,0.7095679012345679,0.7095679012345679
Math-ematics,0.3775273450447464,0.7175925925925926,0.7175925925925926
August,0.5094464700033146,0.7166666666666667,0.7166666666666667
24,0.5923102419622142,0.7194444444444444,0.7194444444444444
",",0.6307590321511435,0.7194444444444444,0.7194444444444444
1970,0.6692078223400729,0.7188271604938271,0.7188271604938271
Certified,0.3065959562479284,0.716358024691358,0.716358024691358
by,0.4129930394431554,0.7175925925925926,0.7175925925925926
------------------Thesis,0.4368578057673185,0.7179012345679012,0.7179012345679012
Supervisor,0.4749751408684123,0.717283950617284,0.717283950617284
Accepted,0.5611534637056679,0.7166666666666667,0.7166666666666667
by,0.6387139542591979,0.7265432098765432,0.7265432098765432
-----------------------------------------Chairman,0.6768312893602917,0.725925925925926,0.725925925925926
",",0.1597613523367583,0.7685185185185185,0.7685185185185185
Departmental,0.2575406032482598,0.7691358024691358,0.7691358024691358
Committee,0.2890288365926417,0.7765432098765432,0.7765432098765432
on,0.3281405369572422,0.7768518518518519,0.7768518518518519
Graduate,0.5425919787868744,0.7799382716049382,0.7799382716049382
Students,0.5830294995028173,0.7703703703703704,0.7703703703703704
---MASS,0.6009280742459396,0.7799382716049382,0.7799382716049382
.,0.6400397746105403,0.7787037037037037,0.7787037037037037
INST.TECH-,0.5495525356314219,0.7858024691358024,0.7858024691358024
SEP,0.6184951939012264,0.7858024691358024,0.7858024691358024
29,0.1600928074245939,0.8274691358024692,0.8274691358024692
1970,0.2475969506131919,0.828395061728395,0.828395061728395
LIBRARIES,0.2787537288697381,0.8361111111111111,0.8361111111111111
----AN,0.2979781239642028,0.8364197530864198,0.8364197530864198
EXPERIMENTAL,0.3178654292343387,0.8361111111111111,0.8361111111111111
INVESTIGATION,0.3954259197878687,0.8367283950617284,0.8367283950617284
OF,0.4090155783891283,0.8351851851851851,0.8351851851851851
OIL,0.4348690752403049,0.837037037037037,0.837037037037037
SPREADING,0.4544249254226052,0.837037037037037,0.837037037037037
OVER,0.4736493205170699,0.8376543209876544,0.8376543209876544
WATER,0.4935366257872058,0.8376543209876544,0.8376543209876544
by,0.5127610208816705,0.8379629629629629,0.8379629629629629
Walter,0.5323168710639709,0.8379629629629629,0.8379629629629629
Suchon,0.5522041763341067,0.8379629629629629,0.8379629629629629
Submitted,0.5714285714285714,0.8385802469135802,0.8385802469135802
in,0.5913158766987073,0.8385802469135802,0.8385802469135802
Partial,0.6102088167053364,0.8382716049382716,0.8382716049382716
Fulfillment,0.6297646668876368,0.8385802469135802,0.8385802469135802
of,0.649320517069937,0.8382716049382716,0.8382716049382716
the,0.6685449121644017,0.8382716049382716,0.8382716049382716
Requirements,0.688100762346702,0.8382716049382716,0.8382716049382716
for,0.707988067616838,0.8379629629629629,0.8379629629629629
the,0.4030493868080875,0.8435185185185186,0.8435185185185186
Degrees,0.500828637719589,0.8447530864197531,0.8447530864197531
of,0.6271130261849519,0.8450617283950618,0.8450617283950618
Bachelor,0.5190586675505469,0.8626543209876543,0.8626543209876543
of,0.5482267152800796,0.8601851851851852,0.8601851851851852
Science,0.6370566788200199,0.8601851851851852,0.8601851851851852
and,0.3848193569771296,0.8910493827160494,0.8910493827160494
Master,0.3838249917136228,0.9052469135802468,0.9052469135802468
of,0.492542260523699,0.8910493827160494,0.8910493827160494
Science,0.4116672190918131,0.8969135802469136,0.8969135802469136
at,0.4438183626118661,0.8959876543209877,0.8959876543209877
the,0.4723235001657275,0.8987654320987655,0.8987654320987655
MASSACHUSETTS,0.3980775604905535,0.9120370370370372,0.9120370370370372
INSTITUTE,0.4318859794497846,0.9108024691358024,0.9108024691358024
OF,0.4726549552535631,0.9160493827160494,0.9160493827160494
TECHNOLOGY,0.4070268478621147,0.937037037037037,0.937037037037037
April,0.4444812727875373,0.9206790123456792,0.9206790123456792
",",0.3838249917136228,0.9324074074074076,0.9324074074074076
1970,0.5054690089492874,0.9166666666666666,0.9166666666666666
Signature,0.386145177328472,0.9373456790123456,0.9373456790123456
of,0.489227709645343,0.9373456790123456,0.9373456790123456
Author,0.2850513755386145,0.1959876543209876,0.1959876543209876
-----------------------------------------------------------------Department,0.3105734173019556,0.1959876543209876,0.1959876543209876
of,0.4189592310241962,0.1950617283950617,0.1950617283950617
Mechanical,0.5336426914153132,0.1950617283950617,0.1950617283950617
Engineering,0.3181968843221743,0.2271604938271605,0.2271604938271605
Certified,0.3523367583692409,0.2265432098765432,0.2265432098765432
by-------,0.4345376201524693,0.2262345679012345,0.2262345679012345
------------T---------------hesis,0.4756380510440835,0.2262345679012345,0.2262345679012345
Supervisor-,0.4090155783891283,0.257716049382716,0.257716049382716
--Accepted,0.3682466025853497,0.2885802469135802,0.2885802469135802
by-,0.4275770633079218,0.2882716049382716,0.2882716049382716
--------------------------------------------------------------------------Chairman,0.2867086509777925,0.3503086419753086,0.3503086419753086
",",0.3692409678488564,0.3506172839506173,0.3506172839506173
Departmental,0.3934371892608551,0.3496913580246913,0.3496913580246913
Committee,0.4597282068279748,0.3493827160493827,0.3493827160493827
on,0.3026184951939012,0.3817901234567901,0.3817901234567901
Graduate,0.3281405369572422,0.3817901234567901,0.3817901234567901
Students,0.3602916804772953,0.3817901234567901,0.3817901234567901
Archives,0.4686774941995359,0.3808641975308642,0.3808641975308642
MASS-,0.5021544580709314,0.3808641975308642,0.3808641975308642
INST,0.3768644348690752,0.4132716049382716,0.4132716049382716
.,0.4434869075240304,0.4123456790123457,0.4123456790123457
TECH,0.3443818362611866,0.4435185185185185,0.4435185185185185
.,0.4189592310241962,0.4429012345679012,0.4429012345679012
SEP,0.4444812727875373,0.4435185185185185,0.4435185185185185
10,0.4106728538283062,0.4740740740740741,0.4740740740740741
1970,0.3510109380178985,0.5061728395061729,0.5061728395061729
LIBRARIES,0.4106728538283062,0.5049382716049383,0.5049382716049383
----DIGITAL,0.4358634405038117,0.5052469135802469,0.5052469135802469
SIMULATION,0.3937686443486907,0.5382716049382716,0.5382716049382716
OF,0.4196221411998674,0.5364197530864198,0.5364197530864198
A,0.268147166058999,0.5685185185185185,0.5685185185185185
TRANSPORTATION,0.386145177328472,0.5679012345679012,0.5679012345679012
INTERFACE,0.4680145840238647,0.5679012345679012,0.5679012345679012
by,0.492542260523699,0.567283950617284,0.567283950617284
CHRYSSOSTOMOS,0.3771958899569108,0.6151234567901235,0.6151234567901235
CHRYSSOSTOMIDIS,0.4358634405038117,0.6141975308641975,0.6141975308641975
B.Sc.,0.1465031488233344,0.7169753086419753,0.7169753086419753
",",0.2287040106065628,0.7160493827160493,0.7160493827160493
University,0.2529002320185615,0.7160493827160493,0.7160493827160493
of,0.3105734173019556,0.721604938271605,0.721604938271605
Durham,0.3801789857474312,0.7179012345679012,0.7179012345679012
(,0.4050381173351011,0.721604938271605,0.721604938271605
1965,0.4269141531322505,0.7179012345679012,0.7179012345679012
),0.4709976798143852,0.7179012345679012,0.7179012345679012
S.M.,0.4961882664898906,0.7209876543209877,0.7209876543209877
",",0.5021544580709314,0.7148148148148148,0.7148148148148148
Massachusetts,0.52635067948293,0.7148148148148148,0.7148148148148148
Institute,0.5545243619489559,0.7148148148148148,0.7148148148148148
of,0.5856811402055021,0.7148148148148148,0.7148148148148148
Technology,0.6191581040768975,0.7148148148148148,0.7148148148148148
(,0.6619158104076898,0.7197530864197531,0.7197530864197531
1967,0.6874378521710308,0.7197530864197531,0.7197530864197531
),0.7328471992045078,0.7209876543209877,0.7209876543209877
Nav,0.3112363274776268,0.7324074074074074,0.7324074074074074
.,0.4027179317202519,0.7308641975308642,0.7308641975308642
Arch.,0.4269141531322505,0.7296296296296296,0.7296296296296296
",",0.5190586675505469,0.7290123456790123,0.7290123456790123
Massachusetts,0.1431885979449784,0.7780864197530865,0.7780864197530865
Institute,0.227709645343056,0.7780864197530865,0.7780864197530865
of,0.4110043089161418,0.7876543209876543,0.7876543209876543
Technology,0.4557507457739476,0.7876543209876543,0.7876543209876543
(,0.578389128273119,0.7820987654320988,0.7820987654320988
1968,0.6291017567119656,0.7817901234567901,0.7817901234567901
),0.6847862114683461,0.7817901234567901,0.7817901234567901
SUBMITTED,0.7292011932383162,0.774074074074074,0.774074074074074
IN,0.3115677825654623,0.7938271604938272,0.7938271604938272
PARTIAL,0.3705667882001989,0.7919753086419753,0.7919753086419753
FULFILLMENT,0.4769638713954259,0.8024691358024691,0.8024691358024691
OF,0.1458402386476632,0.8410493827160493,0.8410493827160493
THE,0.2200861783228372,0.8410493827160493,0.8410493827160493
REQUIREMENTS,0.2479284057010275,0.8475308641975309,0.8475308641975309
FOR,0.264832615180643,0.8472222222222222,0.8472222222222222
THE,0.3225058004640371,0.8469135802469135,0.8469135802469135
DEGREE,0.3639376864434869,0.846604938271605,0.846604938271605
OF,0.3868080875041432,0.8391975308641976,0.8391975308641976
DOCTOR,0.4060324825986079,0.8462962962962963,0.8462962962962963
OF,0.447132913490222,0.8462962962962963,0.8462962962962963
PHILOSOPHY,0.4719920450778919,0.8459876543209877,0.8459876543209877
at,0.5054690089492874,0.8459876543209877,0.8459876543209877
the,0.5465694398409016,0.8459876543209877,0.8459876543209877
MASSACHUSETTS,0.6049055352999668,0.8450617283950618,0.8450617283950618
INSTITUTE,0.6380510440835266,0.8450617283950618,0.8450617283950618
OF,0.662578720583361,0.8447530864197531,0.8447530864197531
TECHNOLOGY,0.688100762346702,0.8447530864197531,0.8447530864197531
February,0.7043420616506464,0.8441358024691358,0.8441358024691358
",",0.3122306927411336,0.8558641975308642,0.8558641975308642
1970,0.3944315545243619,0.8546296296296296,0.8546296296296296
Signature,0.5028173682466026,0.854320987654321,0.854320987654321
of,0.5860125952933377,0.8567901234567902,0.8567901234567902
Author,0.6098773616175008,0.8537037037037037,0.8537037037037037
Department,0.6857805767318529,0.8530864197530864,0.8530864197530864
of,0.3990719257540603,0.8790123456790123,0.8790123456790123
Naval,0.3921113689095127,0.9003086419753087,0.9003086419753087
Architecture,0.4269141531322505,0.899074074074074,0.899074074074074
and,0.4557507457739476,0.9030864197530863,0.9030864197530863
Marine,0.3841564468014584,0.9175925925925926,0.9175925925925926
Engineering,0.4242625124295658,0.9200617283950616,0.9200617283950616
",",0.4550878355982764,0.9145061728395062,0.9145061728395062
January,0.3868080875041432,0.9410493827160494,0.9410493827160494
8,0.3662578720583361,0.894753086419753,0.894753086419753
",",0.484255883327809,0.9030864197530863,0.9030864197530863
1970,0.3659264169705005,0.9231481481481482,0.9231481481481482
------Certified,0.4713291349022207,0.9231481481481482,0.9231481481481482
by,0.2916804772953265,0.1722222222222222,0.1722222222222222
----Thesis,0.3715611534637056,0.1712962962962963,0.1712962962962963
Supervisor,0.4802784222737819,0.1716049382716049,0.1716049382716049
------Accepted,0.5094464700033146,0.1712962962962963,0.1712962962962963
by,0.2920119323831621,0.1873456790123456,0.1873456790123456
Chairman,0.4418296320848525,0.1867283950617284,0.1867283950617284
",",0.4010606562810739,0.2182098765432098,0.2182098765432098
Department,0.2625124295657938,0.2496913580246913,0.2496913580246913
Committee,0.4013921113689095,0.2487654320987654,0.2487654320987654
on,0.2727875372886973,0.2817901234567901,0.2817901234567901
Graduate,0.3417301955585018,0.2799382716049383,0.2799382716049383
Students,0.4511103745442492,0.2799382716049383,0.2799382716049383
----Archives,0.4806098773616175,0.2802469135802469,0.2802469135802469
MASS.INST,0.3854822671528008,0.295679012345679,0.295679012345679
.,0.1925754060324826,0.329320987654321,0.329320987654321
TECH,0.2519058667550546,0.3280864197530864,0.3280864197530864
.,0.3924428239973483,0.3268518518518518,0.3268518518518518
NOV,0.490884985084521,0.3271604938271605,0.3271604938271605
27,0.5203844879018893,0.3271604938271605,0.3271604938271605
1970,0.3858137222406363,0.3429012345679012,0.3429012345679012
LIBRARIES,0.1634073583029499,0.3771604938271605,0.3771604938271605
---IMMERSIONS,0.2121312562147829,0.3756172839506173,0.3756172839506173
OF,0.2823997348359297,0.375,0.375
SYMMETRIC,0.4229366920782234,0.374074074074074,0.374074074074074
SPACES,0.5210473980775605,0.374074074074074,0.374074074074074
by,0.5512098110706,0.3734567901234568,0.3734567901234568
EDMUND,0.3858137222406363,0.3898148148148148,0.3898148148148148
FRANCIS,0.2538945972820682,0.4228395061728395,0.4228395061728395
KELLY,0.3529996685449121,0.4225308641975309,0.4225308641975309
B,0.3821677162744448,0.4222222222222222,0.4222222222222222
.,0.4613854822671528,0.4216049382716049,0.4216049382716049
