img_path,text,class
/home/mchou001/Label-Dedication/502/aug0.png,"Dedication
It was dedicated to my parents and sisters.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug1.png,"Dedication
Dedicated to my family.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug2.png,"Dedication
It is dedicated to my parents and sisters.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug3.png,"Dedication
It was dedicated to my family.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug4.png,"Dedication
4.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug5.png,"Dedication
There are 4.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug6.png,"Dedication
There are four.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug7.png,"Dedication
There were 4.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug8.png,"Dedication
4.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug9.png,"Dedication
There are 4.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug10.png,"Dedication
There are four.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug11.png,"Dedication
There were 4.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug12.png,"Dedication
This work could never have been done for my parents.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug13.png,"Dedication
This work could never have been done if my parents had not sacrificed and encouraged me.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug14.png,"Dedication
This work could never have been done without the sacrifice and encouragement of my
parents.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug15.png,"Dedication
This work could not have been done without the sacrifice and encouragement of my parents.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug16.png,"Dedication
It can be done.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug17.png,"Dedication
It can be done in an unincorporated community.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug18.png,"Dedication
It can be done in an unorganized community.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug19.png,"Dedication
It can be done in an unincorporated not organized community.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug20.png,"Dedication
The thesis and my time at M.I.T. could not have been possible without the love,
understanding, and hard work of Kit and Jeff.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug21.png,"Dedication
The thesis and my time at M.I.T. could not have been possible without the love,
understanding and hard work of Kit and Jeff.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug22.png,"Dedication
The thesis and my time at M.I.T. could not have been possible without the help of Kit and
Jeff.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug23.png,"Dedication
The thesis and my time at M.I.T. could not have been made without the help of Kit and
Jeff.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug24.png,"Dedication
I am always there for my parents.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug25.png,"Dedication
I dedicate myself to my parents for always being there.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug26.png,"Dedication
I am dedicated to my parents for always being there.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug27.png,"Dedication
For always being there, I am in dedication to my parents.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug28.png,"Dedication
My parents are the focus of this thesis because of their love, prayers, and support
throughout the course of my work.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug29.png,"Dedication
The thesis is dedicated to my parents for their love, prayers, and support throughout the
course of my work.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug30.png,"Dedication
This thesis is dedicated to my parents for their love, prayers, and support throughout the
course of my work.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug31.png,"Dedication
This thesis is dedicated to my parents for their love, their prayers, and their support
throughout the course of my work.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug32.png,"Dedication
This study is dedicated to the author's wife, sons, and daughter for their patience,
encouragement, and sacrifice which made this a reality.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug33.png,"Dedication
This study is dedicated to the author's wife, his sons, and daughter for their patience,
encouragement, and sacrifice which made this a reality.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug34.png,"Dedication
This study is dedicated to the author's wife, his sons, and daughter, for their patience,
encouragement, and sacrifice which made this a reality.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug35.png,"Dedication
This study is dedicated to the author's wife, his sons, and daughter for their patience,
encouragement, and sacrifice which made this project a reality.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug36.png,"Dedication
This work is dedicated to my family.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug37.png,"Dedication
This work is dedicated to my parents and my wife.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug38.png,"Dedication
My wife, Kit-Ming, and my parents are the focus of this work.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug39.png,"Dedication
Dedicated to my wife, Kit-Ming, and my parents.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug40.png,"Dedication
This work is dedicated to my family.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug41.png,"Dedication
This work is dedicated to my parents and my wife.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug42.png,"Dedication
My wife, Kit-Ming, and my parents are the focus of this work.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug43.png,"Dedication
Dedicated to my wife, Kit-Ming, and my parents.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug44.png,"Dedication
DeDICATION IV.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug45.png,"Dedication
DeDICATION IV
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug46.png,"Dedication
DeDICATION I.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug47.png,"Dedication
DEDICATION IV.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug48.png,"Dedication
The study is dedicated to the memory of my father, who instilled in me the desire to
pursue academic endeavors and set high standards.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug49.png,"Dedication
The study is dedicated to the memory of my father, who instilled in me the desire to
pursue academic endeavors and set high standards for such endeavors.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug50.png,"Dedication
This study is dedicated to the memory of my father, who instilled in me the desire to
pursue academic endeavors and set high standards.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug51.png,"Dedication
This study is dedicated to the memory of my father, who instilled in me the desire to
pursue academic endeavors and set high standards for such endeavors.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug52.png,"Dedication
I have a buddy, wife and counselor.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug53.png,"Dedication
I have a friend, wife and counselor.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug54.png,"Dedication
I have a buddy, a wife and a counselor.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug55.png,"Dedication
I have a buddy, wife, and counselor.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug56.png,"Dedication
Dedicated to Mom and Dad, who have always known the right things to say and who have given
their love and support in many different ways.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug57.png,"Dedication
Dedicated to Mom and Dad, who have always known the right things to say and who have given
their love and support in so many different ways.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug58.png,"Dedication
Dedicated to Mom and Dad, who have always known the right things to say, and who have
given their love and support in many different ways.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug59.png,"Dedication
Dedicated to Mom and Dad, who have always known the right things to say and have given
their love and support in many different ways.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug60.png,"Dedication
For teaching by example the excitement and joy of life and learning to my mother, for
friendship and love, sharing the good times, and helping me through the not-so-good times,
I was dedicated with love to my mother and Herb.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug61.png,"Dedication
For teaching by example the excitement and joy of life and learning to Herb, for
friendship and love, sharing the good times, and helping me through the not-so-good times,
I was dedicated with love to my mother and Herb.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug62.png,"Dedication
For teaching by example the excitement and joy of life and learning to my mother, for
friendship and love, sharing the good times, and helping me through the not-so-good times,
I was dedicated with love to my mother and her.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug63.png,"Dedication
For teaching by example the excitement and joy of life and learning to my mother, for
friendship and love, sharing the good times, and helping me through the not-so-good times,
I was dedicated with love to my mother.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug64.png,"Dedication
For her love, understanding and support.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug65.png,"Dedication
To for her love and support.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug66.png,"Dedication
To for her love, understanding and support.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug67.png,"Dedication
For her love and support.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug68.png,"Dedication
For Paul planted and Apollos watered, but God caused the growth"" To Him on the throne, be
the glory, honor and strength.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug69.png,"Dedication
For Paul planted and Apollos watered, but God caused the growth."" To Him on the throne, be
the glory, honor and strength.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug70.png,"Dedication
For Paul planted and Apollos watered, but God caused the growth"" to Him on the throne, be
the glory, honor and strength.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug71.png,"Dedication
For Paul planted and Apollos watered, but God caused the growth"" to Him on the throne.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug72.png,"Dedication
For Paul planted and Apollos watered, but God caused the growth"" To Him on the throne, be
the glory, honor and strength.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug73.png,"Dedication
For Paul planted and Apollos watered, but God caused the growth."" To Him on the throne, be
the glory, honor and strength.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug74.png,"Dedication
For Paul planted and Apollos watered, but God caused the growth"" to Him on the throne, be
the glory, honor and strength.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug75.png,"Dedication
For Paul planted and Apollos watered, but God caused the growth"" to Him on the throne.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug76.png,"Dedication
V.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug77.png,"Dedication
V
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug78.png,"Dedication
Is that V?
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug79.png,"Dedication
It's V.
",Label-Dedication
/home/mchou001/Label-Dedication/502/aug80.png,"Dedication
My parents, Barbara and Marty Hanley, always assumed I would learn and do so.
",Label-Dedication
