id,title,author,year,university,degree,advisor,department
132623,Effects of limbric lesions on social attraction in rats /,"Ritchie, Glenn David",1975,The Ohio State University,Doctor of Philosophy,,
121999,Potential for carvedilol to modify doxorubicin cardiotoxicity /,"Sawangkoon, Suwanakiet",2002,The Ohio State University,Doctor of Philosophy,,
316807,The development of a photocrosslinked biomaterial for bone tissue engineering applications,"Fisher, John Patrick",,Rice University,Doctor of Philosophy,"Mikos, Antonios G.",Bioengineering
106721,Prejudicial attitudes and behavioral intentions toward homosexual providers in service relationships,"Wiethoff, Carolyn M.",2002,The Ohio State University,Doctor of Philosophy,"Greenberg, Jerald",
328470,Valid Inequalities and Facets for Multi-Module (Survivable) Capacitated Network Design Problem,"Luo, Haochen",,Texas A&M University,Doctor of Philosophy,"Kianfar, Kiavash",Industrial and Systems Engineering
95935,Effects Of Microbial Attachment And Biofilm Formation On Microbiologically Influenced Corrosion,"Wang, Hua",2014,University of Akron,Doctor of Philosophy,"Zhang Newby, Bi-min",
145138,Eva Gonzales (1849-1883):  an examination of the artist's style and subject matter /,"Grant, Carol Jane.",1994,The Ohio State University,Doctor of Philosophy,,
102620,The electronic structure and field effects of an organic-based room temperature magnetic semiconductor,"Lincoln, Derek M.",2007,The Ohio State University,Doctor of Philosophy,"Epstein, Arthur",
106736,"Risk aversion, scale economies and tests of risk sharing","Zhang, Qiang",1998,The Ohio State University,Doctor of Philosophy,"Ogaki, Masao",
317790,Inter-temporal and spatial choice between ground and surface water in municipalities with land subsidence,"Hultberg, Sylvestre Gaudin",,Rice University,Doctor of Philosophy,"Mieszkowski, Peter",Economics
126116,The role of automatic data processing in inventory management in selected large department stores /,"McConaughy, David H.",1965,The Ohio State University,Doctor of Philosophy,,
100428,A numerical study of incompressible Navier-Stokes equations in three-dimensional cylindrical coordinates,"Zhu, Douglas Xuedong",2005,The Ohio State University,Doctor of Philosophy,"Korpela, Seppo",
114566,A Study of the Distal Molecular Mechanism by which Beta-2 Adrenergic Receptor Stimulation on a B Cell Regulates IgE Production,"Padro, Caroline Jeannette",2013,The Ohio State University,Doctor of Philosophy,"Sanders, Virginia M",
170754,To Make America Over: The Greenbelt Towns of the New Deal,"Turner, Julie D.",2010,Miami University,Doctor of Philosophy,,
127231,The feasibility of interaction among social welfare agency personnel and home economics teachers for the well being of high school students /,"Stewart, Marjorie S.,",1968,The Ohio State University,Doctor of Philosophy,,
120453,Variation in Form and Function in Jewish English Intonation,"Burdin, Rachel Steindel, Burdin",2016,The Ohio State University,Doctor of Philosophy,"Joseph, Brian D.",
127077,Lateral-torsional buckling of arches /,"Tokarz, Frank J.",1968,The Ohio State University,Doctor of Philosophy,,
194487,An Investigation Into the Fate of a C5'-Uridinyl Radical ,"Ellis, Matthew",2017,University of Toledo,Doctor of Philosophy,"Bryant-Friedrich, Amanda",
325756,Search for New Light Bosons in Higgs Boson Decays,"Tatarinov, Aysen",,Texas A & M University,Doctor of Philosophy,"Safonov, Alexei",Physics and Astronomy
183545,Perceived health status and health promotion behaviors in Black and White informal caregivers of impaired elders,"McDonald, Patricia Elaine",1995,Case Western Reserve University School of Graduate Studies,Doctor of Philosophy,"Brennan, Patricia",
117961,Intuition and Intellect as Related to Style in Sculpture,"Baus, Paul  Jean",1947,The Ohio State University,Master of Arts,"Frey, Erwin F.",
113519,"Layers of Branding: City and Arts Organization Branding in Columbus, Ohio","Krochta, Carrie Ann",2012,The Ohio State University,Master of Arts,"Lawson, Wayne",
