id,title,author,year,university,degree,advisor,department
302938,Nozzle Design,"Chong, Tung Hsue",,,,"Boggs, J. H.",Mechanical Engineering
284071,Spark Plasma Sintering of Monolithic  Silicon Carbide and Silicon Carbide-Graphene Composite,"Sharfuzzaman, Amin Mohammad",2013,Oklahoma State University,,,Mechanical Engineering
288311,Study of the Infinite Finite Elements for the Static Analysis,"Kalyanasundaram, Shankar",1983,Oklahoma State University,,"Allen, James J.",Mechanical Engineering
327339,ULTRASHORT-PULSE LASER TECHNIQUES FOR UNRAVELING CHEMICAL AND PHYSICAL PROCESSES IN NEXT-GENERATION COMBUSTION SYSTEMS,"Wang, Yejun",,Texas A & M University,Doctor of Philosophy,"Kulatilaka, Waruna D",Mechanical Engineering
289435,Environmentally Induced Fracture of Nickel Alloys: a Comparison of Hydrogen and Mercury Embrittlement with Respect to Temperature,"King, Randall K.",1985,Oklahoma State University,,,Mechanical Engineering
310896,Analysis of Passive Radiation Shielding from Galactic Cosmic Rays in Cis-Lunar Space,"Warden, David",,Rice University,Doctor of Philosophy,"Bayazitoglu , Yildiz",Mechanical Engineering
333035,A Framework for Coupled Deformation-Diffusion Analysis with Application to Degradation/Healing,"Mudunuru, Maruti Kumar",,Texas A&M University,Master of Science,"Nakshatrala, Kalyana B.",Mechanical Engineering
329314,Multi-physics investigation on the failure mechanism and short-time scale wave motion in flip-chip configuration,"Oh, Yoonchan",,Texas A&M University,Doctor of Philosophy,"Suh, Chii-Der S.",Mechanical Engineering
287464,Combined Effect of Shear Stress and Secondhand Smoke on Platelet Activation and Aggregation,"Sultana, Mst Sarmin",2013,Oklahoma State University,,"Santhanakrishnan, Arvind",Mechanical Engineering
334800,Coordinated Multi-Agent Motion Planning Under Realistic Constraints,"Maithripala, Diyogu Hennadige Asanka",,Texas A&M University,Doctor of Philosophy,"Suhada, Jayasuriya",Mechanical Engineering
326726,Wide-Dynamic Range Image Sensor Prototype Based On Digital Readout Integrated Circuit,"Gupta, Robin",,Texas A & M University,Master of Science,"PALERMO, SAMUEL",Electrical and Computer Engineering
321929,"Machine Learning in Large-scale Genomics: Sensing, Processing, and Analysis","Aghazadeh Mohandesi, Amir Ali",,Rice University,Doctor of Philosophy,"Baraniuk, Richard G",Electrical and Computer Engineering
