id,title,author,year,university,degree,advisor,department
2209,"Urban Form, Wind, Comfort, and Sustainability: The San Francisco Experience","Kim, Hyungkyoo",2014,ucb,doctor of philosophy,"Macdonald, Elizabeth;",city and regional planning
3735,Regulation of Form in Multicellular Choanoflagellates and the Evolutionary Cell Biology of Morphogenesis,"Larson, Benjamin Timothy",2019,ucb,,"King, Nicole;Hallatschek, Oskar;",
4255,Attacks on Emerging Architectures,"Hanna, Steven Craig",2012,ucb,,"Song, Dawn;",
4485,Study of Laser Melted Liquids and of Interfacial Ions by Nonlinear Spectroscopy,"Hull, Christopher James",2019,ucb,,"Saykally, Rich;",
7131,Small molecule membrane transporters for enhanced microbial production of biochemicals,"Boyarskiy, Sergey",2015,ucb,,"Tullman-Ercek, Danielle;",
11193,Towards Accurate and Scalable Clone Detection using Software Metrics,"Saini, Vaibhav Pratap Singh",2018,uci,,"Lopes, Cristina V;",
11673,The Role of Hydrophobicity in Biomacromolecular Interactions with Abiotic Affinity Agents,"Chou, Beverly",2016,uci,,"Shea, Kenneth J;",
12408,Designing for Productive Persistence after Failure,"Tran, Cathy",2015,uci,,"Eccles, Jacquelynne S;Conley, AnneMarie M;",
12791,"Understanding how irrigation, plant physiology, and the Madden-Julian Oscillation shape regional water cycles and their extremes","Fowler, Megan Devlan",2019,uci,,"Pritchard, Michael S;",
15341,Perspective Distortion Modeling in Face Images and Object Tracking Library,"Valente, Joachim",2014,ucla,,"Soatto, Stefano;",
16204,High-Resolution Functional Profiling Hepatitis C Virus Genome,"QI, HANGFEI",2012,ucla,,"Sun, Ren;",
16994,Cooperation Incentives for Wireless Networks,"Wu, Chuchu",2015,ucla,,"Gerla, Mario;",
18083,Visualizing Transcranial Direct Current Stimulation (tDCS) in vivo using Magnetic Resonance Imaging,"Jog, Mayank Anant",2017,ucla,,"Wang, Danny JJ;Cohen, Mark;",
18791,Penalized Bayesian Model Selection and Prediction for Gene Regulation in Higher Organisms,"Levinson, Matthew David",2013,ucla,,"Zhou, Qing;",
19758,Staging the Saints: Mormonism and American Musical Theater,"Johnson, Jacob Vaughn",2017,ucla,,"Knapp, Raymond L;",
19969,Amateur Anthropologists: DIY Tourism as Learning Culture and Accessing Authenticity,"Nishijima, Ryoko",2012,ucla,,"Tamanoi, Mariko;",
20430,"The Effects of Changes in Parental Employment, Partnership Status, and Residence on Children’s Educational Attainment","Simon Thomas, Elisabeth Julia",2015,ucla,,"Brand, Jennie E;",
22242,"Novela Mexicana Contemporánea y Fronteriza: Rastros que Dejó ""la Onda""","Ceja Vazquez, Suria Yesica",2014,ucr,,"Williams, Raymond L;",
22427,Hydrophobic Organic Contaminants in Urban-Impacted Coastal Marine Sediments,"Taylor, Allison Reine",2019,ucr,,"Gan, Jay;",
23272,The Production of High Levels of Renewable Natural Gas from Biomass Using Steam Hydrogasification,"Thanmongkhon, Yoothana",2014,ucr,,"Norbeck, Joseph M;",
25543,Organizational Coordination and Communication: The Development and Testing of an Integrative Model,"Zackrison, Eric John",2017,ucsb,,"Seibold, David R;Rice, Ronald E;",
27435,Essays in Applied Microeconomics,"Mirza, Arshad",2019,ucsc,,"Robinson, Jonathan;",
32402,"Acculturation, behavioral risk factors, and cardio- metabolic dysfunction in Mexican American women living in a border region","Espinosa de los Monteros, Karla",2011,ucsd,,,
33886,Detecting Abl Tyrosine Kinase in Mouse Tissues,"Hwang, Amini",2015,ucsd,,"Wang, Jean Y.J;",
34296,Estimation techniques for large-scale turbulent fluid systems,"Colburn, Christopher Hughes",2011,ucsd,,,
38616,Does Text Messaging Oral Health Information and Appointment Scheduling Reminders Improve Oral Health?,"Das, Neha",2016,ucsf,,"Hyde, Susan;",
94539,Permeation Sampling of BTEX and Gasoline,"Anderson, Cody Allen",2010,University of Akron,Master of Science,"Hardy, James",
98458,Micropatterning Neuronal Networks on Nanofiber Platforms,"Malkoc, Veysi",2013,The Ohio State University,Doctor of Philosophy,"Hansford, Derek",
107248,Essays in International Financial Management,"Liao, Chuan",2010,The Ohio State University,Doctor of Philosophy,,
108651,Polymeric Nanoparticles for Ultrasonic Enhancement and Targeted Drug Delivery,"Li, Jie",2010,The Ohio State University,Master of Science,"Liu, Jun",
