etd_id,degree
132623,Doctor of Philosophy
121999,Doctor of Philosophy
316807,Doctor of Philosophy
106721,Doctor of Philosophy
328470,Doctor of Philosophy
95935,Doctor of Philosophy
145138,Doctor of Philosophy
102620,Doctor of Philosophy
106736,Doctor of Philosophy
317790,Doctor of Philosophy
126116,Doctor of Philosophy
100428,Doctor of Philosophy
114566,Doctor of Philosophy
170754,Doctor of Philosophy
127231,Doctor of Philosophy
120453,Doctor of Philosophy
127077,Doctor of Philosophy
194487,Doctor of Philosophy
325756,Doctor of Philosophy
183545,Doctor of Philosophy
117961,Master of Arts
113519,Master of Arts
309776,Master of Arts
279876,Master of Arts
429244,Master of Arts
316173,Master of Arts
94366,Master of Arts
320147,Master of Arts
311592,Master of Arts
100776,Master of Arts
319915,Master of Arts
320386,Master of Arts
171564,Master of Arts
311753,Master of Arts
118098,Master of Arts
192832,Master of Arts
79251,Master of Arts
278257,Master of Arts
112804,Master of Arts
309885,Master of Arts
312409,Master of Science
512908,Master of Science
97330,Master of Science
279960,Master of Science
320485,Master of Science
328383,Master of Science
511258,Master of Science
323770,Master of Science
512986,Master of Science
95035,Master of Science
277003,Master of Science
151046,Master of Science
408529,Master of Science
415097,Master of Science
405052,Master of Science
119826,Master of Science
333104,Master of Science
513053,Master of Science
97081,Master of Science
102956,Master of Science
422094,Doctor of Education
279767,Doctor of Education
280624,Doctor of Education
281631,Doctor of Education
499910,Doctor of Education
429393,Doctor of Education
330840,Doctor of Education
431499,Doctor of Education
328827,Doctor of Education
419003,Doctor of Education
280867,Doctor of Education
381646,Doctor of Education
329806,Doctor of Education
278239,Doctor of Education
94913,Doctor of Education
557884,Doctor of Education
172451,Doctor of Education
430464,Doctor of Education
190881,Doctor of Education
429857,Doctor of Education
521012,Master of Architecture
104407,Master of Architecture
317908,Master of Architecture
513896,Master of Architecture
515287,Master of Architecture
278121,Master of Architecture
485952,Master of Architecture
516608,Master of Architecture
515263,Master of Architecture
320537,Master of Architecture
315599,Master of Architecture
319654,Master of Architecture
277585,Master of Architecture
529131,Master of Architecture
274428,Master of Architecture
316131,Master of Architecture
312258,Master of Architecture
402799,Master of Architecture
309980,Master of Architecture
312031,Master of Architecture
