etd_id,department
302938,Mechanical Engineering
284071,Mechanical Engineering
288311,Mechanical Engineering
327339,Mechanical Engineering
289435,Mechanical Engineering
310896,Mechanical Engineering
333035,Mechanical Engineering
329314,Mechanical Engineering
287464,Mechanical Engineering
334800,Mechanical Engineering
326726,Electrical and Computer Engineering
321929,Electrical and Computer Engineering
332720,Electrical and Computer Engineering
319452,Electrical and Computer Engineering
346171,Electrical and Computer Engineering
255880,Electrical and Computer Engineering
320955,Electrical and Computer Engineering
346628,Electrical and Computer Engineering
332698,Electrical and Computer Engineering
255410,Electrical and Computer Engineering
322251,Psychology
311252,Psychology
315039,Psychology
319477,Psychology
302492,Psychology
317881,Psychology
323374,Psychology
388563,Psychology
291245,Psychology
298265,Psychology
321536,Chemistry
288686,Chemistry
252701,Chemistry
319115,Chemistry
299026,Chemistry
309203,Chemistry
316352,Chemistry
326858,Chemistry
317514,Chemistry
293320,Chemistry
389499,Computer Science
315893,Computer Science
285678,Computer Science
388538,Computer Science
286211,Computer Science
302303,Computer Science
304680,Computer Science
316143,Computer Science
316278,Computer Science
281964,Computer Science
282899,English
321039,English
345018,English
282775,English
325373,English
322924,English
366977,English
334616,English
294056,English
334614,English
282564,History
346540,History
316372,History
388847,History
345636,History
317515,History
344818,History
252871,History
276288,History
293602,History
351128,Economics
313600,Economics
327118,Economics
292764,Economics
314061,Economics
313843,Economics
318160,Economics
543554,Economics
314184,Economics
344206,Economics
389082,Music
278355,Music
349516,Music
278358,Music
278975,Music
279736,Music
315280,Music
281064,Music
281612,Music
281059,Music
277474,Architecture
310581,Architecture
278165,Architecture
277431,Architecture
317950,Architecture
279281,Architecture
320921,Architecture
277909,Architecture
275021,Architecture
318345,Architecture
