etd_id,author,advisor
475173,"Melville, Alexander","Dehzangi, Omid"
15341,"Valente, Joachim","Soatto, Stefano;"
309080,"Welford, Christopher John","Hulet, Randall G."
29745,"DiGirolamo, Elizabeth Morgan",
196095,"Bantawa, Kabi R.",
186451,"Bennett, Casey","Thomas, Peter"
180558,"Zhang, Wenjuan","Nowak, Felicia"
33028,"Dufek, Sarah Anne",
425407,"Jones, Zachary Glen","Major Goodman, Chair"
368825,"Roth, Jennifer Jamison","Cooner, Donna"
193918,"Chulski, Katherine D","Randolph, Brian"
347032,"Thiruselvan, Sheena","Vidra, Rebecca"
399782,"Robertson, Margaret L.",
162448,"McCoy, Christina Glasgow",
387642,"Schwarm, Samuel Christian","Ankem, Sreeramamurthy"
16994,"Wu, Chuchu","Gerla, Mario;"
378212,"Briggs, Rebecca S.",
421293,"Li, Yingjie","David Kaber, Committee Chair"
108651,"Li, Jie","Liu, Jun"
322638,"Cockerell, Lauren","Wingenbach, Gary"
361560,"Bryan, Josiah A.","Kluever, Craig A. (Craig Allan)"
20430,"Simon Thomas, Elisabeth Julia","Brand, Jennie E;"
233297,"Berryman, Carrie Anne",Tiffiny A. Tung
320168,"Melendez Alvarez, Ariana A","Vargas, Francisco M."
424172,"Morera, Francisco","James Nau, Committee Chair"
144319,"Sherrill, Julie Anne",
388406,"Plettner, Theodore","Reed, William"
94539,"Anderson, Cody Allen","Hardy, James"
449387,"Hoss, Mary E.",
112701,"Muriuki, Wamae Wachanga","Kasulis, Thomas"
430979,"Carpenter, Scott","Mihail Sichitiu, Chair"
168948,"Shu, Xingliang",
453846,"Engelbrecht, Petrus J.","MacGonagle, Elizabeth"
320909,"Lopez Mellado, Guillermo","Kobayashi, Riki"
25543,"Zackrison, Eric John","Seibold, David R;Rice, Ronald E;"
159054,"VUMMIDI MURALI, KRISHNA PRASAD","Cahay, Dr. Marc M."
112505,"Dinan, Benjamin J.","Akbar, Sheikh"
189501,"DiStefano, Michelle L.","Stivers, Camilla"
186582,"Roe, Anne Jessica T","Qi, Xin"
164264,"Boswell Schiefer, Ellen W.",
293415,"Doing, Jimmy Vern","Walker, Nat"
4255,"Hanna, Steven Craig","Song, Dawn;"
361819,"Fore, Jeffrey D.","Sowa, Scott P."
422555,"Ievtushenko, Olga","George Hodge, Chair"
182140,"Feller, Ray",
315331,"Gaytan, Raquel","Kauffmann, R. Lane"
357710,"Wang, Pixiang","Wang, Yi"
112616,"Lee, Su-Lin","Chen, Ching-Shih"
374337,"Lombardi, Allison",
269109,"Winger, Jack L.",
360308,"Welden, John Seth",
347388,"Yeung, Carmen","Orbach, Michael"
233512,"Ringer, Christophe Darro",
371245,"Lambert, Dana Ann","Banning, James H."
360105,"Child, Warren Daniel",
387708,"QIN, Dongchang","LIU, DONGXIA"
108776,"Bowdish, Lawrence A.","Baker, Paula"
347147,"Wu, Liangting","Bridgeman, Leila"
22427,"Taylor, Allison Reine","Gan, Jay;"
168406,"Indiano, Cara",
188481,"Park, Miseon",
155781,"Curry, Joshua G","Highhouse, Scott"
414651,"Jones, Jamey Lee",
476225,"Platte, Nathan R.",
284056,"Moehle, Ryan Allen","Caneday, Lowell"
235221,"Morris, Matthew Carlson",Judy Garber
161327,"Stratton, Dirk","Drury, John"
276179,"King, Steven Wayne",
398765,"Chen, Hui-Pang.",
452639,"Politzer-Ahles, Stephen","Fiorentino, Robert"
147633,"Thornton, Keith Edward",
357395,"Christian, Brianna","Cremaschi, Selen"
362072,"Himes, Stephen","Edmonds, Carole A. (Carole Ann)"
32402,"Espinosa de los Monteros, Karla",
298413,"Childress, William H.","Tuma, Jan J."
11673,"Chou, Beverly","Shea, Kenneth J;"
514396,"Davis, Laura E.",F D Bloss
159939,"Shin, Wonhee","Hoffman, Dr. Joel"
287464,"Sultana, Mst Sarmin","Santhanakrishnan, Arvind"
