acronym,full_name
A.A.,Associate of Arts
A.A.T.,Associate of Arts for Transfer
A.A.A.,Associate of Applied Arts
A.A.B.,Associate of Applied Business
A.A.S.,Associate of Applied Science
A.A.T.,Associate of Applied Technology (or Teaching)
A.B.A.,Associate of Business Administration
A.B.S.,Associate of Baccalaureate Studies
A.E.E.T.,Associate of Electrical Engineering Technology
A.E.,Associate of Electronics
A.Eng.,Associate of Engineering
A.E.S. ,Associate of Engineering Technology
A.E.T.,Associate of Forestry
A.Eng.T.,Associate of Forestry
A.F.,Associate of Fine Arts
A.F.A.,Associate of General Studies
A.G.,Associate of Industrial Technology
A.I.T.,Associate of Occupational Technology
A.O.T.,Associate of Political Science (or Public Service)
A.P.E.,Associate of Science
A.P.S.T,Associate in Physical Therapy
A.S.C.A.D,"Associate of Science in Computer Assisted Design
"
A.B.,Bachelor of Arts
B.A.,Bachelor of Arts
B.A.A.,Bachelor of Applied Arts
B.A.B.A.,Bach of Arts of Business Administration
B.A.Com.,Bachelor of Arts in Communication
B.Acc.Sci.,Bachelor of Comptrolling
B.Compt.,Bachelor of Comptrolling
B.Acy.,Bachelor of Accountancy
B.Acc.,Bachelor of Accountancy
B.A.E.,Bachelor of Arts in Education
B.A(Econ),Bachelor of Arts in Economics
B.J.,Bachelor of Arts in Journalism
B.A.J.,Bachelor of Arts in Journalism
B.A.Mus.,Bachelor of Arts in Music
B.A.M,Bachelor of Arts in Music
B.A.O.M.,Bachelor of Arts in Organizational Management
B.A.P.S.Y.,Bachelor of Arts in Psychology
B.A.S.,Bachelor of Administrative Studies (or Applied Studies)
B.A.Sc.,Bachelor of Applied Science
B.A.S.W.,Bachelor of Arts in Social Work
B.A.T.,Bachelor of Arts for Teaching
B.Ag,Bachelor of Agriculture
B.App.Sc(IT),Bachelor of Applied Science in Information Technology
B.Arch.,Bachelor of Architecture
B.Avn.,Bachelor of Aviation
B.B.A.,Bachelor of Business Administration
B.B.I.S.,Bachelor of Business Information Systems
B.Bus.,Bachelor of Business
B.Bus.Sc.,Bachelor of Business Science
B.Ch.E.,Bachelor of Chemical Engineering
B.Com.,Bachelor of Commerce
B.Comm.,Bachelor of Commerce
B.Comp.,Bachelor of Computing
B.Crim.,Bachelor of Criminology
B.Comp.Sc.,Bachelor of Computer Science
B.C.A.,Bachelor of Computer Applications
B.C.E.,Bachelor of Civil Engineering
B.Des.,Bachelor of Design
B.E.,Bachelor of Education (or Engineering)
B.Ec. or B.Econ.,Bachelor of Economics
B.E.E.,Bachelor of Electrical Engineering
B.Eng.,Bachelor of Engineering
B.E.Sc.,Bachelor of Engineering Science
B.F.A.,Bachelor of Fine Arts
B.F&TV.,Bachelor of Film and Television
B.G.S. ,Bachelor of General Studies
B.S.G.S.,Bachelor of General Studies
B.H.S.,Bachelor of Health Science
B.H.Sc.,Bachelor of Health Science
B.I.B.E.,Bachelor of International Business Economics
B.In.Dsn.,Bachelor of Industrial Design
B.I.S.,Bachelor of Integrated Studies
B.Kin.,Bachelor of Kinesiology
B.Sc.Kin.,Bachelor of Science in Kinesiology
B.L.A.,Bachelor of Liberal Arts
A.L.B.,Bachelor of Liberal Arts
B.L.Arch.,Bachelor of Landscape Architecture
B.L.S.,Bachelor of Liberal Studies
B.L.I.S.,Bachelor of Library and Information Science
B.Lib.,Bachelor of Library Science
B.L.S.,Bachelor of Library Science
B.Mus.,Bachelor of Music
B.M.,Bachelor of Music
B.M.E,Bachelor of Music Education
B.M.Ed.,Bachelor of Music Education
B.M.O.S.,Bachelor of of Management and Organizational Studies
B.M.S.,Bachelor of Management Studies (or Mortuary Studies)
B.Math,Bachelor of Mathematics
B.Math.Sc.,Bachelor of Mathematical Science
B.P.A.P.M.,Bachelor of Public Affairs and Policy Management
B.P.S.,Bachelor of Professional Studies
