EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	01:52:54	0	0.1000	2.18401663779915	1.6160402297973633	0.0792	0.014	0.0238	0.012
2	01:53:01	0	0.1000	1.675688196921123	1.4312613010406494	0.4722	0.0594	0.1056	0.0557
3	01:53:10	1	0.1000	1.4385579427083333	1.2385786771774292	0.1149	0.0297	0.0472	0.0244
4	01:53:12	2	0.1000	1.2329265997719832	0.9460089802742004	0.5156	0.0577	0.1038	0.054700000000000006
5	01:53:15	0	0.1000	1.0539062804509667	0.788469672203064	0.3904	0.1276	0.1924	0.10640000000000001
6	01:53:23	0	0.1000	0.8831186083421032	0.6502238512039185	0.2642	0.3094	0.285	0.1676
7	01:53:30	0	0.1000	0.7268888582349158	0.518014669418335	0.4912	0.292	0.3662	0.2275
8	01:53:38	0	0.1000	0.623850069996622	0.45472264289855957	0.5418	0.4528	0.4933	0.3316
9	01:53:46	0	0.1000	0.5481235657594715	0.4098021686077118	0.7052	0.4476	0.5476	0.3781
10	01:53:54	0	0.1000	0.47507177292835984	0.3309646248817444	0.6733	0.7063	0.6894	0.5309
11	01:54:01	1	0.1000	0.4073778530525673	0.27962568402290344	0.6271	0.7028	0.6628	0.5006
12	01:54:05	0	0.1000	0.3512564677853134	0.22729815542697906	0.7141	0.7727	0.7422	0.5957
13	01:54:12	0	0.1000	0.3204288226925476	0.21379052102565765	0.7411	0.7657	0.7532	0.6075
14	01:54:20	0	0.1000	0.2881343545369504	0.20759643614292145	0.7418	0.7885	0.7644	0.6247
15	01:54:28	0	0.1000	0.2562934535293888	0.1704796403646469	0.7922	0.8129	0.8024	0.671
16	01:54:36	1	0.1000	0.24515063281168797	0.18818697333335876	0.8122	0.6958	0.7495	0.6003000000000001
17	01:54:39	0	0.1000	0.24837909504599315	0.15769509971141815	0.7962	0.8129	0.8045	0.6739
18	01:54:47	1	0.1000	0.20077073426618855	0.150710329413414	0.8311	0.7745	0.8018	0.6712
19	01:54:49	0	0.1000	0.19533513521853238	0.12240304052829742	0.8057	0.8339	0.8196	0.6953
20	01:54:58	1	0.1000	0.19219645258419082	0.24886655807495117	0.7229	0.7343	0.7285	0.5730000000000001
21	01:55:00	0	0.1000	0.18850127853458581	0.11032537370920181	0.8339	0.8077	0.8206	0.6968000000000001
22	01:55:08	0	0.1000	0.15661079320301943	0.09175647050142288	0.8462	0.8269	0.8364	0.7188
23	01:55:17	1	0.1000	0.15560276470416276	0.11473052203655243	0.8408	0.8217	0.8311	0.7121000000000001
24	01:55:20	2	0.1000	0.16204933584411704	0.09329576790332794	0.8207	0.8322	0.8264	0.7052
25	01:55:23	3	0.1000	0.14091499470559193	0.11621783673763275	0.8346	0.7937	0.8136	0.6858000000000001
26	01:55:26	0	0.1000	0.1307172704890344	0.0981341153383255	0.8551	0.8357	0.8453	0.732
27	01:55:33	0	0.1000	0.12493351538951253	0.07481466233730316	0.8746	0.8531	0.8637	0.7601
28	01:55:41	1	0.1000	0.11587414980901153	0.08398745208978653	0.835	0.8759	0.8549	0.7466
29	01:55:44	2	0.1000	0.1132154251604563	0.08210823684930801	0.8151	0.8706	0.8419	0.727
30	01:55:47	3	0.1000	0.11794638884016734	0.09646914154291153	0.7895	0.8916	0.8374	0.7203
31	01:55:50	4	0.1000	0.10679869596780481	0.07735083997249603	0.8189	0.8776	0.8473	0.735
32	01:55:54	0	0.0500	0.09392331675176697	0.06664195656776428	0.875	0.8811	0.878	0.7826000000000001
33	01:56:02	1	0.0500	0.08455558438247064	0.06127021089196205	0.8768	0.8706	0.8737	0.7757000000000001
34	01:56:05	2	0.0500	0.08729896271827253	0.055130504071712494	0.8719	0.8566	0.8642	0.7609
35	01:56:09	0	0.0500	0.08734139106511797	0.04977085441350937	0.8903	0.8794	0.8848	0.7934
36	01:56:18	0	0.0500	0.08130514670057687	0.05786823108792305	0.8991	0.8724	0.8855	0.7946000000000001
37	01:56:26	1	0.0500	0.07157677338309427	0.0539773553609848	0.8804	0.8619	0.871	0.7715000000000001
38	01:56:30	2	0.0500	0.08222019824797318	0.05950168892741203	0.8883	0.8619	0.8749	0.7776000000000001
39	01:56:33	3	0.0500	0.07948356987644216	0.06090981140732765	0.8915	0.8619	0.8764	0.7801
40	01:56:37	4	0.0500	0.07229186358291757	0.052394766360521317	0.8851	0.8619	0.8733	0.7752
41	01:56:40	1	0.0250	0.06659078285781103	0.054214879870414734	0.8822	0.8514	0.8665	0.7645000000000001
42	01:56:44	2	0.0250	0.06356613909351938	0.05775168538093567	0.8944	0.8584	0.876	0.7794000000000001
43	01:56:47	3	0.0250	0.06528377661820498	0.049832358956336975	0.8885	0.8636	0.8759	0.7792
44	01:56:51	4	0.0250	0.06337663257782455	0.051211606711149216	0.8909	0.8566	0.8734	0.7753
45	01:56:54	1	0.0125	0.06362018955929737	0.05126776173710823	0.8931	0.8619	0.8772	0.7813
46	01:56:57	2	0.0125	0.06495627647204033	0.05009954422712326	0.8945	0.8601	0.877	0.781
47	01:57:01	3	0.0125	0.062160826983291756	0.05013752356171608	0.8944	0.8584	0.876	0.7794000000000001
48	01:57:04	4	0.0125	0.06565000024360773	0.048184990882873535	0.8893	0.8706	0.8799	0.7855000000000001
49	01:57:08	1	0.0063	0.06161286183868621	0.04870441555976868	0.8903	0.8654	0.8777	0.782
50	01:57:11	2	0.0063	0.06144248868036067	0.05114128068089485	0.8964	0.8619	0.8788	0.7838
