"['tso, chih-ping']"
"['simson, anton keats']"
"['holschneider, johannes philipp']"
"['sweedler, moss eisenberg']"
"['el-shiekh, aly hassan mahmoud']"
"['opitz, calvin fred']"
"['pedju, ary mochtar']"
"['bonar, james robert']"
"['gruber, gerald']"
"['cannon, robert hamilton']"
"['clementson, gerhardt christopher']"
"['winograd, terry']"
"['nez, george']"
"['washburn, charles winfred']"
"['powell, douglas s']"
"['reuter, frederick h']"
"['stenning, alan h. (alan hugh)']"
"['paslay, paul r']"
"['webb, watt wetmore, 1927-']"
"['reiner, thomas a.', '(thomas andrew), 1931-']"
"['paukulis, vivaldis']"
"['horowitz, richard m']"
"['suchon, walter']"
"['wyckoff, harold w']"
"['scott, norman keith']"
"['wilmot, george barwick']"
"['lyon, richard h']"
"['coughlin, robert edward']"
"['jeffcoat, robert lee']"
"['bott, eric herschler']"
"['azuma, alberto']"
"['maizza neto, octavio']"
"['shiman, leon gardner']"
"['chryssostomidis, chryssostomos']"
"['hayes, steven coburn']"
"['soupcoff, william harold']"
"['cylkowski, david']"
"['loftness, vivian ellen']"
"['neuhaus, sanford j']"
"['chen, xinmin']"
"['gangnes, arnold g. (arnold gordon), 1918-']"
"['stone, archie allan']"
"['newton, richard y']"
"['crandall, stephen h']"
"['kelly, edmund francis aloysius']"
"['maack, viggo e']"
"['palmer, peter joseph']"
"['basu, satyaki']"
"['kilayko, enrique']"
"['raff, alfred israel']"
