['chih-ping tso']
['terry winograd']
['walter suchon']
['chryssostomos chryssostomidis']
['edmund francis kelly']
['peter joseph palmer']
['satyaki basu']
['enrique l. kilayko']
['alfred i. raff']
"['anton keats simson', 'chairman, departmental committee on theses']"
['johannes philipp holschneider']
['moss eisenberg sweedler']
"['aly h, m, el-shiekh']"
[]
['ary m. pedju']
['james robert bonar']
['gerald gruber']
"['robert hamilton cannon, jr. b.s., university of rochester']"
['gerhardt c. clementson']
['george nez']
['charles winfred washburn']
"['douglas s. powell, b.e., yale univ., 1947']"
['frederick h. reuter']
[]
['paul r. paslay']
['watt wetmore webb']
['thomas a. reiner']
[]
['richard m. horowitz']
['harold winfield wyckoff']
"['n.keith scott,']"
['george barwick wilmot']
[]
[]
['robert lee jeffcoat']
['eric hershler bott']
['alberto azuma']
['octavio maizza neto']
['leon gardner shiman']
['steven c. hayes']
['william harold soupcoff']
['david cylkowskt']
['vivian ellen loftness']
['sanford j. neuhaus']
['hsin-min chen']
[]
['archie allan stone']
['richard y. newton']
['stephen harry crandall']
['viggo e. maack']
['james a. holmes']
['kenneth l. kienas']
['margaret mary sheridan']
['richard j.fenchak ']
['john william hellgeth']
['walid khaled eid']
['mutasim fuad baba']
['thomas a. dingus']
['mickey e. gunter']
['henry van tuyl cotter']
['melissa clare connaway']
['claire elaine crutchley']
['sterling i. marshall']
['mohammad ali saed']
['bruce s. tang']
['james r. mckenna']
['joanna m. grymes']
"['john l. randall, jr.']"
['doron shalev']
['robert nicholas antenucci']
['lena hall']
['brian victor bredenkamp']
['ronald e. hawkins']
['lin- ying lai']
['william p. yurochko']
['helene aiello']
['beryle crockett santon']
"['clell r. clemons, jr.']"
['ann marie hellstern']
['cynthia a. arnold']
['libra jan cleveland gysel']
['juan p. arhancet']
['ha chul kim']
['jorge luis yordan hernandez']
['john alan chermak']
['robert thomas arenburg']
['christine mae gruhn']
['gbemiga a. ayangbile']
['david h. cohen']
['linda e. morris']
['anthony j. oliveira']
['lillie mae anderton']
['k.d. bennett']
['susan semanic-lauth']
['chian-yeun chang']
['allen lee sehn']
['zhiqiang wang']
['william john chism']
['thomas f. barton']
['joseph m. desimone']
