,first_name1,middle_name1,last_name1,first_name2,middle_name2,last_name2,first_name_status,middle_name_status,last_name_status
0,chih-ping,,tso,chih-ping,,tso,1,0,1
1,,,,terry,,winograd,0,0,0
2,,,,walter,,suchon,0,0,0
3,chryssostomos,,chryssostomidis,chryssostomos,,chryssostomidis,1,0,1
4,,,,edmund,aloysius,kelly,0,0,0
5,peter,joseph,palmer,peter,joseph,palmer,1,1,1
6,,,,satyaki,,basu,0,0,0
7,,,,enrique,,kilayko,0,0,0
8,alfred,i.,raff,alfred,israel,raff,1,0,1
9,,,,anton,keats,simson,0,0,0
10,,,[,johannes,philipp,holschneider,0,0,0
11,,,,moss,eisenberg,sweedler,0,0,0
12,,,,aly,mahmoud,el-shiekh,0,0,0
13,,,,calvin,fred,opitz,0,0,0
14,,,,ary,mochtar,pedju,0,0,0
15,,,,james,robert,bonar,0,0,0
16,gerald,,gruber,gerald,,gruber,1,0,1
17,,,[,robert,hamilton,cannon,0,0,0
18,,,,gerhardt,christopher,clementson,0,0,0
19,george,,nez,george,,nez,1,0,1
20,charles,winfred,washburn,charles,winfred,washburn,1,1,1
21,,,,douglas,s,powell,0,0,0
22,frederick,h.,reuter,frederick,h,reuter,1,0,1
23,,,,alan,,stenning,0,0,0
24,thesis,,supervisor,paul,r,paslay,0,0,0
25,watt,wetmore,webb,1927-,,webb,0,0,1
26,,,,1931-,,reiner,0,0,0
27,,,,vivaldis,,paukulis,0,0,0
28,,,,richard,m,horowitz,0,0,0
29,harold,winfield,wyckoff,harold,w,wyckoff,1,0,1
30,,,,norman,keith,scott,0,0,0
31,,,,george,barwick,wilmot,0,0,0
32,,,,richard,h,lyon,0,0,0
33,,,,robert,edward,coughlin,0,0,0
34,,,,robert,lee,jeffcoat,0,0,0
35,eric,hershler,bott,eric,herschler,bott,1,0,1
36,,,,alberto,,azuma,0,0,0
37,,,,octavio,,maizza neto,0,0,0
38,,,,leon,gardner,shiman,0,0,0
39,steven,c.,hayes,steven,coburn,hayes,1,0,1
40,william,harold,soupcoff,william,harold,soupcoff,1,1,1
41,david,,cylkowskt,david,,cylkowski,1,0,0
42,vivian,ellen,loftness,vivian,ellen,loftness,1,1,1
43,sanford,j.,neuhaus,sanford,j,neuhaus,1,0,1
44,,,,xinmin,,chen,0,0,0
45,,,,1918-,,gangnes,0,0,0
46,,,,archie,allan,stone,0,0,0
47,,,,richard,y,newton,0,0,0
48,,,,stephen,h,crandall,0,0,0
49,,,,viggo,e,maack,0,0,0
50,,,,james,,holmes,0,0,0
51,,,,kenneth,lee,kienas,0,0,0
52,,,,margaret,mary,sheridan,0,0,0
53,richard,j.yfenchak,yg,richard,john,fenchak,1,0,0
54,john,william,heligeth,john,william,hellgeth,1,1,0
55,walid,khaled,eid,walid,khaled,eid,1,1,1
56,,,,mutasim,fuad,baba,0,0,0
57,thomas,a.,dingus,thomas,,dingus,1,0,1
58,mickey,e.,gunter,mickey,,gunter,1,0,1
59,,,,henry,van tuyl,cotter,0,0,0
60,,,,melissa,clare,connaway,0,0,0
61,,,,claire,elaine,crutchley,0,0,0
62,,,,sterling,,marshall,0,0,0
63,mohammad,ali,saed,mohammad,ali,saed,1,1,1
64,,,,bruce,shiu-leung,tang,0,0,0
65,,,,james,richard,mckenna,0,0,0
66,joanna,m.,grymes,joanna,,grymes,1,0,1
67,,,,,,randall,0,0,0
68,,,,doron,,shalev,0,0,0
69,,,,robert,nicholas,antenucci,0,0,0
70,,,,lena,,hall,0,0,0
71,brian,victor,bredenkamp,brian,victor,bredenkamp,1,1,1
72,ronald,e.,hawkins,ronald,eugene,hawkins,1,0,1
73,,,,lin-ying,,lai,0,0,0
74,,,,william,,yurochko,0,0,0
75,helene,,aiello,helene,sarah,aiello,1,0,1
76,beryle,crockett,santon,beryle,crockett,santon,1,1,1
77,,,,,,clemons,0,0,0
78,,,,ann,marie,hellstern,0,0,0
79,cynthia,a.,arnold,cynthia,ann,arnold,1,0,1
80,libra,jan cleveland,gysel,libra,cleveland,gysel,1,0,1
81,juan,p.,arhancet,juan,pedro,arhancet,1,0,1
82,ha,chul,kim,ha,chul,kim,1,1,1
83,jorge,luis yordan,hernandez,jorge,luis,yordan hernandez,1,0,0
84,john,alan,chermak,john,alan,chermak,1,1,1
85,,,,robert,thomas,arenburg,0,0,0
86,christine,mae,gruhn,christine,mae,gruhn,1,1,1
87,,,,gbemiga,adekunmi,ayangbile,0,0,0
88,david,h.,cohen,david,henry,cohen,1,0,1
89,linda,e.,mormis,linda,ellen,morris,1,0,0
90,anthony,j.,oliveira,anthony,joseph,oliveira,1,0,1
91,lillie,mae,anderton,lillie,mae,anderton,1,1,1
92,k.d.,,bennett,kimberly,dean,bennett,0,0,1
93,,,,susan,ann,semanic-lauth,0,0,0
94,chian-yeun,,chang,chian-yeun,,chang,1,0,1
95,allen,lee,sehn,allen,lee,sehn,1,1,1
96,,,,zhiqiang,,wang,0,0,0
97,,,,william,john,chism,0,0,0
98,,,,thomas,,barton,0,0,0
99,,,,joseph,mark,desimone,0,0,0
