,Unnamed: 0,first_name1,middle_name1,last_name1,first_name2,middle_name2,last_name2,first_name_status,middle_name_status,last_name_status,matched
0,0,chih-ping,,tso,chih-ping,,tso,1,0,1,1
1,1,,,,terry,,winograd,0,0,0,0
2,2,,,,walter,,suchon,0,0,0,0
3,3,chryssostomos,,chryssostomidis,chryssostomos,,chryssostomidis,1,0,1,1
4,4,,,,edmund,aloysius,kelly,0,0,0,0
5,5,peter,joseph,palmer,peter,joseph,palmer,1,1,1,1
6,6,,,,satyaki,,basu,0,0,0,0
7,7,,,,enrique,,kilayko,0,0,0,0
8,8,alfred,i.,raff,alfred,israel,raff,1,0,1,0
9,9,,,,anton,keats,simson,0,0,0,0
10,10,,,[,johannes,philipp,holschneider,0,0,0,0
11,11,,,,moss,eisenberg,sweedler,0,0,0,0
12,12,,,,aly,mahmoud,el-shiekh,0,0,0,0
13,13,,,,calvin,fred,opitz,0,0,0,0
14,14,,,,ary,mochtar,pedju,0,0,0,0
15,15,,,,james,robert,bonar,0,0,0,0
16,16,gerald,,gruber,gerald,,gruber,1,0,1,1
17,17,,,[,robert,hamilton,cannon,0,0,0,0
18,18,,,,gerhardt,christopher,clementson,0,0,0,0
19,19,george,,nez,george,,nez,1,0,1,1
20,20,charles,winfred,washburn,charles,winfred,washburn,1,1,1,1
21,21,,,,douglas,s,powell,0,0,0,0
22,22,frederick,h.,reuter,frederick,h,reuter,1,0,1,1
23,23,,,,alan,,stenning,0,0,0,0
24,24,thesis,,supervisor,paul,r,paslay,0,0,0,0
25,25,watt,wetmore,webb,1927-,,webb,0,0,1,0
26,26,,,,1931-,,reiner,0,0,0,0
27,27,,,,vivaldis,,paukulis,0,0,0,0
28,28,,,,richard,m,horowitz,0,0,0,0
29,29,harold,winfield,wyckoff,harold,w,wyckoff,1,0,1,1
30,30,,,,norman,keith,scott,0,0,0,0
31,31,,,,george,barwick,wilmot,0,0,0,0
32,32,,,,richard,h,lyon,0,0,0,0
33,33,,,,robert,edward,coughlin,0,0,0,0
34,34,,,,robert,lee,jeffcoat,0,0,0,0
35,35,eric,hershler,bott,eric,herschler,bott,1,0,1,1
36,36,,,,alberto,,azuma,0,0,0,0
37,37,,,,octavio,,maizza neto,0,0,0,0
38,38,,,,leon,gardner,shiman,0,0,0,0
39,39,steven,c.,hayes,steven,coburn,hayes,1,0,1,1
40,40,william,harold,soupcoff,william,harold,soupcoff,1,1,1,1
41,41,david,,cylkowskt,david,,cylkowski,1,0,0,0
42,42,vivian,ellen,loftness,vivian,ellen,loftness,1,1,1,1
43,43,sanford,j.,neuhaus,sanford,j,neuhaus,1,0,1,1
44,44,,,,xinmin,,chen,0,0,0,0
45,45,,,,1918-,,gangnes,0,0,0,0
46,46,,,,archie,allan,stone,0,0,0,0
47,47,,,,richard,y,newton,0,0,0,0
48,48,,,,stephen,h,crandall,0,0,0,0
49,49,,,,viggo,e,maack,0,0,0,0
50,50,,,,james,,holmes,0,0,0,0
51,51,,,,kenneth,lee,kienas,0,0,0,0
52,52,,,,margaret,mary,sheridan,0,0,0,0
53,53,richard,j.yfenchak,yg,richard,john,fenchak,1,0,0,0
54,54,john,william,heligeth,john,william,hellgeth,1,1,0,0
55,55,walid,khaled,eid,walid,khaled,eid,1,1,1,1
56,56,,,,mutasim,fuad,baba,0,0,0,0
57,57,thomas,a.,dingus,thomas,,dingus,1,0,1,1
58,58,mickey,e.,gunter,mickey,,gunter,1,0,1,1
59,59,,,,henry,van tuyl,cotter,0,0,0,0
60,60,,,,melissa,clare,connaway,0,0,0,0
61,61,,,,claire,elaine,crutchley,0,0,0,0
62,62,,,,sterling,,marshall,0,0,0,0
63,63,mohammad,ali,saed,mohammad,ali,saed,1,1,1,1
64,64,,,,bruce,shiu-leung,tang,0,0,0,0
65,65,,,,james,richard,mckenna,0,0,0,0
66,66,joanna,m.,grymes,joanna,,grymes,1,0,1,1
67,67,,,,,,randall,0,0,0,0
68,68,,,,doron,,shalev,0,0,0,0
