,extracted_degree,degree,degree_match
0,m.s.,m.s.,1
1,ph.d.,ph.d.,1
2,b.s.,m.s.,0
3,ph.d.,ph.d.,1
4,ph.d.,ph.d.,1
5,m.s.,m.s.,1
6,sc.d.,sc.d.,1
7,m.s.,m.s.,1
8,,m.s.,0
9,b.s.,b.s.,1
10,,m.arch,0
11,ph.d.,ph.d.,1
12,sc.d.,sc.d.,1
13,b.arch.,b.arch.,1
14,m.arch.,m.arch.,1
15,m.arch.,m.arch.,1
16,sc.d.,sc.d.,1
17,sc.d.,sc.d.,1
18,sc.d.,sc.d.,1
19,m.c.p.,m.c.p.,1
20,m.c.p.,m.c.p.,1
21,,m.c.p.,0
22,m.c.p.,m.c.p.,1
23,sc.d.,sc.d.,1
24,sc.d.,sc.d.,1
25,sc.d.,sc.d.,1
26,m.c.p.,m.c.p.,1
27,,m.arch.,0
28,m.arch.,m.arch.,1
29,ph.d.,ph.d.,1
30,m.arch.,m.arch.,1
31,ph.d.,ph.d.,1
32,ph.d.,ph.d.,1
33,m.c.p.,m.c.p.,1
34,ph.d.,ph.d.,1
35,b.s.,b.s.,1
36,,m.s.,0
37,ph.d.,ph.d.,1
38,ph.d.,ph.d.,1
39,m.arch.,m.arch.,1
40,m.arch.,m.arch.a.s.,0
41,m.arch.,m.arch.,1
42,m.arch.,m.arch.,1
43,,s.b.,0
44,sc.d.,sc.d.,1
45,m.arch.,m.arch.,1
46,,m.s.,0
47,,m.s.,0
48,ph.d.,ph.d.,1
49,,b.s.,0
50,ed.d.,educat.d.,0
51,ed.d.,educat.d.,0
52,ph.d.,ph.d.,1
53,ed.d.,educat.d.,0
54,ph.d.,ph.d.,1
55,ph.d.,ph.d.,1
56,ph.d.,ph.d.,1
57,ph.d.,ph.d.,1
58,ph.d.,ph.d.,1
59,ph.d.,ph.d.,1
60,ph.d.,ph.d.,1
61,ph.d.,ph.d.,1
62,ed.d.,educat.d.,0
63,ph.d.,ph.d.,1
64,ph.d.,ph.d.,1
65,ph.d.,ph.d.,1
66,,ph.d.,0
67,ph.d.,ph.d.,1
68,ph.d.,ph.d.,1
69,ph.d.,ph.d.,1
70,ed.d.,ed.d.,1
71,ph.d.,ph.d.,1
72,ed.d.,ed.d.,1
73,ph.d.,ph.d.,1
74,ed.d.,ed.d.,1
75,ed.d.,ed.d.,1
76,,ed.d.,0
77,ed.d.,ed.d.,1
78,ph.d.,ph.d.,1
79,ph.d.,ph.d.,1
80,ed.d.,ed.d.,1
81,ph.d.,ph.d.,1
82,ph.d.,ph.d.,1
83,ph.d.,ph.d.,1
84,ph.d.,ph.d.,1
85,ph.d.,ph.d.,1
86,ph.d.,ph.d.,1
87,ph.d.,ph.d.,1
88,ph.d.,ph.d.,1
89,ed.d.,ed.d.,1
90,ed.d.,ed.d.,1
91,ed.d.,ed.d.,1
92,ph.d.,ph.d.,1
93,ph.d.,ph.d.,1
94,ph.d.,ph.d.,1
95,ph.d.,ph.d.,1
96,ph.d.,ed.d.,0
97,ph.d.,ph.d.,1
98,ph.d.,ph.d.,1
99,ph.d.,ph.d.,1
