,extracted_title,title,title_match
0,['some aspects of radiation induced nucleation in water'],['some aspects of radiation induced nucleation in water'],1
1,['procedures as a representation for data in a computer program for understanding natural language'],['procedures as a representation for data in a computer program for understanding natural language'],1
2,['an experimental investigation of oil spreading over water'],['an experimental investigation of oil spreading over water'],1
3,['digital simulation of a transportation interface'],['digital simulation of a transportation interface'],1
4,['immersions of symmetric spaces'],['immersions of symmetric spaces'],1
5,['inertial gyro life-cycle costs - analysis and management'],['inertial gyro life-cycle costs - analysis and management'],1
6,['ionization in seeded detonation waves'],['ionization in seeded detonation waves'],1
7,['ethyl alcohol as fuel for internal combustion engines'],['ethyl alcohol as fuel for internal combustion engines'],1
8,['dynamics of the tankship industry'],['dynamics of the tankship industry'],1
9,['analysis of tape drives'],['analysis of tape drives'],1
10,"['a headquarters for the world health organization in geneva, switzerland']","['a headquarters for the world health organization in geneva, switzerland']",1
11,['cocommutative hopf algebras with antipode'],['cocommutative hopf algebras with antipode'],1
12,['on the mechanics of twist insertion'],['on the mechanics of twist insertion'],1
13,[''],['a museum of history for boston'],0
14,['buildings as systems'],['buildings as systems'],1
15,['a building system based on growth'],['a building system based on growth'],1
16,['automatic generation of thermodynamic networks'],['automatic generation of thermo-dynamic networks'],0
17,['performance of hydrofoil systems'],['performance of hydrofoil systems'],1
18,['an investigation of the power spectral density of atmospheric turbulence'],['an investigation of the power spectral density of atmospheric turbulence'],1
19,"['survey and city plan for keene, n.h.']","['survey and city plan for keene, n.h.']",1
20,"['an economic background study of new bedford, massachusetts']","['an economic background study of new bedford, massachusetts']",1
21,[''],"['a planning program for the towns of the bridgeport, connecticut, region']",0
22,['a proposal for the structural reorganization of the planning function in new york city'],['a proposal for the structural reorganization of the planning function in new york city'],1
23,[''],['stall propagation in axial compressors'],0
24,['calendering of an elastic-viscous material'],['calendering of an elastic-viscous material'],1
25,['oxidation studies in metal-carbon systems'],['oxidation studies in metal-carbon systems'],1
26,['a critical survey of published physical planning principles'],['a critical survey of published physical planning principles'],1
27,[''],"['new ywca building, pittsburgh, pa']",0
28,['a development study for north philadelphia airport'],['a development study for north philadelphia airport'],1
29,['x-ray diffraction analysis of the structure of deoxyribonucleic acid'],['x-ray diffraction analysis of the structure of deoxyribonucleic acid'],1
30,['toward a new architecture for industry'],['toward a new architecture for industry'],1
31,['the raman spectra and structure of silica and the soda-silica glasses'],['the raman spectra and structure of silica and the soda-silica glasses'],1
32,['the response of continuous systems to random noise fields'],['the response of continuous systems to random noise fields'],1
33,[''],['the community costs resulting from growth'],0
34,['lateral dynamics and control of rail vehicles'],['lateral dynamics and control of rail vehicles'],1
35,['hydraulic damper design for a knee prosthesis'],['hydraulic damper design for a knee prosthesis'],1
36,['modeling and simulation of a steam power station'],['modeling and simulation of a steam power station'],1
37,['modal analysis and control of flexible manipulator arms'],['modal analysis and control of flexible manipulator arms'],1
38,['grammar for vision'],['grammar for vision'],1
39,['air rights development of urban transit corridors'],['air rights development of urban transit corridors'],1
40,['housing-box and panel'],['housing : box and panel'],0
41,['an additive approach to the design of urban paths and edges'],['an additive approach to the design of urban paths and edges'],1
