['']
['']
['']
['']
['']
['']
['']
['']
['f. donald bloss']
['']
['']
['']
['']
['sedki m. riad']
"['e. g., ii henneke']"
['dale d. wolf']
['janet sawyers']
['khidir w. hilu']
['k. l. reifsnider']
['james k. palmer']
['ronald l. mckeen']
['harold e. burkhart']
['david e. hutchins']
['harold l. stalford']
['daniel b. fleming']
['philip r. jones']
['larry a. harris']
['carl o. mcdaniels']
['j. e. mcgrath']
['james e. mcgrath']
['harold w. stubblefield']
['mark e. davis']
['garth l. wilkes']
['roe-hoan yoon']
['j. d. rimstidt']
['j. n. reddy']
"['orson k., jr. miller']"
['j. p. fontenot']
['steven a. sinclair']
['marcie boucouvalas']
['wayne m. worner']
['f. asche']
['r. o. claus']
['cosby s. rogers']
['joseph wang']
['j. michael duncan']
['david a. dillard']
['s. wayne bingham']
['john g. dillard']
['james e. mcgrath']
